sec,ID,x_coordinate(m),y_coordinate(m),AP_ID
30,1,14703,39123,886
1857,1,14703,39123,886
3675,1,14703,39123,886
5459,1,14703,39123,886
7247,1,14703,39123,886
9064,1,14703,39123,886
10858,1,14703,39123,886
12677,1,14703,39123,886
14477,1,14703,39123,886
16271,1,14703,39123,886
18089,1,14703,39123,886
19900,1,14703,39123,886
21721,1,14703,39123,886
23551,1,14703,39123,886
25376,1,14703,39123,886
27162,1,14703,39123,886
28976,1,14703,39123,886
30797,1,14703,39123,886
32595,1,14703,39123,886
34389,1,14703,39123,886
36211,1,14703,39123,886
37999,1,14703,39123,886
39785,1,14703,39123,886
41598,1,14703,39123,886
43387,1,14703,39123,886
45169,1,14703,39123,886
46947,1,14703,39123,886
48768,1,14703,39123,886
50565,1,14703,39123,886
52359,1,14703,39123,886
54149,1,14703,39123,886
55939,1,14703,39123,886
57713,1,14703,39123,886
59539,1,14703,39123,886
61325,1,14703,39123,886
63109,1,14703,39123,886
64916,1,14703,39123,886
66709,1,14703,39123,886
68489,1,14703,39123,886
70304,1,14703,39123,886
72090,1,14703,39123,886
73862,1,14703,39123,886
75639,1,14703,39123,886
77444,1,14703,39123,886
79230,1,14703,39123,886
81021,1,14703,39123,886
82808,1,14703,39123,886
84617,1,14703,39123,886
15,1,14703,39123,886
1822,1,14703,39123,886
3632,1,14703,39123,886
5416,1,14703,39123,886
7208,1,14703,39123,886
9027,1,14703,39123,886
10841,1,14703,39123,886
12670,1,14703,39123,886
14464,1,14703,39123,886
16241,1,14703,39123,886
18040,1,14703,39123,886
19867,1,14703,39123,886
21690,1,14703,39123,886
23463,1,14703,39123,886
25278,1,14703,39123,886
27054,1,14703,39123,886
28857,1,14703,39123,886
30679,1,14703,39123,886
32473,1,14703,39123,886
34294,1,14703,39123,886
36106,1,14703,39123,886
37909,1,14703,39123,886
39732,1,14703,39123,886
41539,1,14703,39123,886
43332,1,14703,39123,886
45124,1,14703,39123,886
46920,1,14703,39123,886
48708,1,14703,39123,886
50511,1,14703,39123,886
52314,1,14703,39123,886
54100,1,14703,39123,886
55928,1,14703,39123,886
57702,1,14703,39123,886
59525,1,14703,39123,886
61303,1,14703,39123,886
63075,1,14703,39123,886
64857,1,14703,39123,886
66681,1,14703,39123,886
68482,1,14703,39123,886
70260,1,14703,39123,886
72073,1,14703,39123,886
73846,1,14703,39123,886
75632,1,14703,39123,886
77424,1,14703,39123,886
79246,1,14703,39123,886
81021,1,14703,39123,886
82811,1,14703,39123,886
84607,1,14703,39123,886
5,1,14703,39123,886
1814,1,14703,39123,886
3624,1,14703,39123,886
5404,1,14703,39123,886
7204,1,14703,39123,886
9006,1,14703,39123,886
10806,1,14703,39123,886
12613,1,14703,39123,886
14424,1,14703,39123,886
16264,1,14703,39123,886
18084,1,14703,39123,886
19903,1,14703,39123,886
21711,1,14703,39123,886
23509,1,14703,39123,886
25329,1,14703,39123,886
27106,1,14703,39123,886
28898,1,14703,39123,886
30701,1,14703,39123,886
32518,1,14703,39123,886
34320,1,14703,39123,886
36144,1,14703,39123,886
37936,1,14703,39123,886
39764,1,14703,39123,886
41536,1,14703,39123,886
43318,1,14703,39123,886
45110,1,14703,39123,886
46925,1,14703,39123,886
48706,1,14703,39123,886
50524,1,14703,39123,886
52327,1,14703,39123,886
54128,1,14703,39123,886
55925,1,14703,39123,886
57752,1,14703,39123,886
59565,1,14703,39123,886
61380,1,14703,39123,886
63191,1,14703,39123,886
64985,1,14703,39123,886
66765,1,14703,39123,886
68595,1,14703,39123,886
70373,1,14703,39123,886
72196,1,14703,39123,886
73976,1,14703,39123,886
75790,1,14703,39123,886
77613,1,14703,39123,886
79432,1,14703,39123,886
81259,1,14703,39123,886
83035,1,14703,39123,886
84813,1,14703,39123,886
231,1,14703,39123,886
2034,1,14703,39123,886
3842,1,14703,39123,886
5614,1,14703,39123,886
7430,1,14703,39123,886
9235,1,14703,39123,886
11044,1,14703,39123,886
12841,1,14703,39123,886
14668,1,14703,39123,886
16448,1,14703,39123,886
18224,1,14703,39123,886
20050,1,14703,39123,886
21851,1,14703,39123,886
23662,1,14703,39123,886
25458,1,14703,39123,886
27276,1,14703,39123,886
29089,1,14703,39123,886
30863,1,14703,39123,886
32683,1,14703,39123,886
34475,1,14703,39123,886
36280,1,14703,39123,886
38052,1,14703,39123,886
39875,1,14703,39123,886
41683,1,14703,39123,886
43494,1,14703,39123,886
45308,1,14703,39123,886
47109,1,14703,39123,886
48910,1,14703,39123,886
50715,1,14703,39123,886
52513,1,14703,39123,886
54300,1,14703,39123,886
56117,1,14703,39123,886
57926,1,14703,39123,886
59756,1,14703,39123,886
61581,1,14703,39123,886
63361,1,14703,39123,886
65159,1,14703,39123,886
66965,1,14703,39123,886
68770,1,14703,39123,886
70558,1,14703,39123,886
72371,1,14703,39123,886
74175,1,14703,39123,886
75973,1,14703,39123,886
77753,1,14703,39123,886
79564,1,14703,39123,886
81357,1,14703,39123,886
83176,1,14703,39123,886
84972,1,14703,39123,886
380,1,14703,39123,886
2209,1,14703,39123,886
4036,1,14703,39123,886
5829,1,14703,39123,886
7613,1,14703,39123,886
9397,1,14703,39123,886
11179,1,14703,39123,886
12979,1,14703,39123,886
14789,1,14703,39123,886
16577,1,14703,39123,886
18408,1,14703,39123,886
20198,1,14703,39123,886
22016,1,14703,39123,886
23806,1,14703,39123,886
25604,1,14703,39123,886
27418,1,14703,39123,886
29243,1,14703,39123,886
31066,1,14703,39123,886
32865,1,14703,39123,886
34686,1,14703,39123,886
36499,1,14703,39123,886
38293,1,14703,39123,886
40110,1,14703,39123,886
41919,1,14703,39123,886
43746,1,14703,39123,886
45537,1,14703,39123,886
47354,1,14703,39123,886
49136,1,14703,39123,886
50964,1,14703,39123,886
52771,1,14703,39123,886
54543,1,14703,39123,886
56364,1,14703,39123,886
58178,1,14703,39123,886
60006,1,14703,39123,886
61790,1,14703,39123,886
63613,1,14703,39123,886
65398,1,14703,39123,886
67215,1,14703,39123,886
69033,1,14703,39123,886
70826,1,14703,39123,886
72620,1,14703,39123,886
74435,1,14703,39123,886
76211,1,14703,39123,886
77983,1,14703,39123,886
79797,1,14703,39123,886
81616,1,14703,39123,886
83418,1,14703,39123,886
85222,1,14703,39123,886
645,1,14703,39123,886
2429,1,14703,39123,886
4259,1,14703,39123,886
6066,1,14703,39123,886
7893,1,14703,39123,886
9715,1,14703,39123,886
11526,1,14703,39123,886
13322,1,14703,39123,886
15099,1,14703,39123,886
16918,1,14703,39123,886
18747,1,14703,39123,886
20547,1,14703,39123,886
22348,1,14703,39123,886
24178,1,14703,39123,886
25974,1,14703,39123,886
27764,1,14703,39123,886
29566,1,14703,39123,886
31364,1,14703,39123,886
33158,1,14703,39123,886
34930,1,14703,39123,886
36718,1,14703,39123,886
38524,1,14703,39123,886
40308,1,14703,39123,886
42108,1,14703,39123,886
43915,1,14703,39123,886
45731,1,14703,39123,886
47513,1,14703,39123,886
49318,1,14703,39123,886
51112,1,14703,39123,886
52918,1,14703,39123,886
54710,1,14703,39123,886
56519,1,14703,39123,886
58291,1,14703,39123,886
60082,1,14703,39123,886
61903,1,14703,39123,886
63728,1,14703,39123,886
65508,1,14703,39123,886
67301,1,14703,39123,886
69110,1,14703,39123,886
70884,1,14703,39123,886
72691,1,14703,39123,886
74472,1,14703,39123,886
76293,1,14703,39123,886
78093,1,14703,39123,886
79876,1,14703,39123,886
81699,1,14703,39123,886
83491,1,14703,39123,886
85275,1,14703,39123,886
657,1,14703,39123,886
2475,1,14703,39123,886
4265,1,14703,39123,886
6074,1,14703,39123,886
7875,1,14703,39123,886
9701,1,14703,39123,886
11512,1,14703,39123,886
13300,1,14703,39123,886
15099,1,14703,39123,886
16918,1,14703,39123,886
18748,1,14703,39123,886
20548,1,14703,39123,886
22371,1,14703,39123,886
24193,1,14703,39123,886
26022,1,14703,39123,886
27848,1,14703,39123,886
29646,1,14703,39123,886
31442,1,14703,39123,886
33242,1,14703,39123,886
35049,1,14703,39123,886
36822,1,14703,39123,886
38604,1,14703,39123,886
40396,1,14703,39123,886
42168,1,14703,39123,886
43989,1,14703,39123,886
45778,1,14703,39123,886
47599,1,14703,39123,886
49375,1,14703,39123,886
51177,1,14703,39123,886
52955,1,14703,39123,886
54764,1,14703,39123,886
56564,1,14703,39123,886
58344,1,14703,39123,886
60152,1,14703,39123,886
61946,1,14703,39123,886
63736,1,14703,39123,886
65530,1,14703,39123,886
67334,1,14703,39123,886
69116,1,14703,39123,886
70921,1,14703,39123,886
72714,1,14703,39123,886
74525,1,14703,39123,886
76297,1,14703,39123,886
78089,1,14703,39123,886
79915,1,14703,39123,886
81716,1,14703,39123,886
83514,1,14703,39123,886
85317,1,14703,39123,886
696,1,14703,39123,886
2505,1,14703,39123,886
4316,1,14703,39123,886
6130,1,14703,39123,886
7938,1,14703,39123,886
9720,1,14703,39123,886
11531,1,14703,39123,886
13348,1,14703,39123,886
15173,1,14703,39123,886
16969,1,14703,39123,886
18747,1,14703,39123,886
20563,1,14703,39123,886
22353,1,14703,39123,886
24195,1,14703,39123,886
26005,1,14703,39123,886
27794,1,14703,39123,886
29576,1,14703,39123,886
31391,1,14703,39123,886
33217,1,14703,39123,886
35001,1,14703,39123,886
36820,1,14703,39123,886
38641,1,14703,39123,886
40451,1,14703,39123,886
42270,1,14703,39123,886
44052,1,14703,39123,886
45838,1,14703,39123,886
47623,1,14703,39123,886
49440,1,14703,39123,886
51224,1,14703,39123,886
53010,1,14703,39123,886
54838,1,14703,39123,886
56634,1,14703,39123,886
58435,1,14703,39123,886
60237,1,14703,39123,886
62062,1,14703,39123,886
63838,1,14703,39123,886
65662,1,14703,39123,886
67464,1,14703,39123,886
69260,1,14703,39123,886
71073,1,14703,39123,886
72877,1,14703,39123,886
74694,1,14703,39123,886
76478,1,14703,39123,886
78274,1,14703,39123,886
80066,1,14703,39123,886
80090,1,14703,39123,886
81913,1,14703,39123,886
83691,1,14703,39123,886
85482,1,14703,39123,886
872,1,14703,39123,886
2687,1,14703,39123,886
4502,1,14703,39123,886
6291,1,14703,39123,886
8098,1,14703,39123,886
9872,1,14703,39123,886
11679,1,14703,39123,886
13487,1,14703,39123,886
15292,1,14703,39123,886
17080,1,14703,39123,886
18905,1,14703,39123,886
20726,1,14703,39123,886
22543,1,14703,39123,886
24358,1,14703,39123,886
26155,1,14703,39123,886
27937,1,14703,39123,886
29723,1,14703,39123,886
31515,1,14703,39123,886
33341,1,14703,39123,886
35144,1,14703,39123,886
36926,1,14703,39123,886
38731,1,14703,39123,886
40516,1,14703,39123,886
42302,1,14703,39123,886
44117,1,14703,39123,886
45900,1,14703,39123,886
47721,1,14703,39123,886
49542,1,14703,39123,886
51369,1,14703,39123,886
53177,1,14703,39123,886
54961,1,14703,39123,886
56770,1,14703,39123,886
58593,1,14703,39123,886
60423,1,14703,39123,886
62236,1,14703,39123,886
64053,1,14703,39123,886
65837,1,14703,39123,886
67619,1,14703,39123,886
69430,1,14703,39123,886
71216,1,14703,39123,886
73036,1,14703,39123,886
74865,1,14703,39123,886
76652,1,14703,39123,886
78482,1,14703,39123,886
80299,1,14703,39123,886
82102,1,14703,39123,886
83901,1,14703,39123,886
85679,1,14703,39123,886
1083,1,14703,39123,886
2873,1,14703,39123,886
4671,1,14703,39123,886
6479,1,14703,39123,886
8288,1,14703,39123,886
10078,1,14703,39123,886
11900,1,14703,39123,886
13684,1,14703,39123,886
15468,1,14703,39123,886
17281,1,14703,39123,886
19099,1,14703,39123,886
20924,1,14703,39123,886
22711,1,14703,39123,886
24499,1,14703,39123,886
26327,1,14703,39123,886
28113,1,14703,39123,886
29914,1,14703,39123,886
31721,1,14703,39123,886
33527,1,14703,39123,886
35354,1,14703,39123,886
37140,1,14703,39123,886
38925,1,14703,39123,886
40697,1,14703,39123,886
42491,1,14703,39123,886
44283,1,14703,39123,886
46055,1,14703,39123,886
47836,1,14703,39123,886
49659,1,14703,39123,886
51459,1,14703,39123,886
53274,1,14703,39123,886
55088,1,14703,39123,886
