sec,ID,x_coordinate(m),y_coordinate(m),AP_ID
185,16,3981,15119,997
1957,16,3981,15119,997
3762,16,3981,15119,997
5576,16,3981,15119,997
7380,16,3981,15119,997
9186,16,3981,15119,997
11001,16,3981,15119,997
12812,16,3981,15119,997
14602,16,3981,15119,997
16375,16,3981,15119,997
18174,16,3981,15119,997
19975,16,3981,15119,997
21773,16,3981,15119,997
23558,16,3981,15119,997
25387,16,3981,15119,997
27193,16,3981,15119,997
29021,16,3981,15119,997
30809,16,3981,15119,997
32610,16,3981,15119,997
34410,16,3981,15119,997
36217,16,3981,15119,997
38003,16,3981,15119,997
39805,16,3981,15119,997
41597,16,3981,15119,997
43397,16,3981,15119,997
45171,16,3981,15119,997
46998,16,3981,15119,997
48771,16,3981,15119,997
50550,16,3981,15119,997
52357,16,3981,15119,997
54153,16,3981,15119,997
55948,16,3981,15119,997
57746,16,3981,15119,997
59568,16,3981,15119,997
61359,16,3981,15119,997
63170,16,3981,15119,997
64956,16,3981,15119,997
66752,16,3981,15119,997
68540,16,3981,15119,997
70314,16,3981,15119,997
72117,16,3981,15119,997
73934,16,3981,15119,997
75720,16,3981,15119,997
77549,16,3981,15119,997
79363,16,3981,15119,997
81178,16,3981,15119,997
82997,16,3981,15119,997
84826,16,3981,15119,997
256,16,3981,15119,997
2042,16,3981,15119,997
3830,16,3981,15119,997
5649,16,3981,15119,997
7436,16,3981,15119,997
9208,16,3981,15119,997
11022,16,3981,15119,997
12806,16,3981,15119,997
14629,16,3981,15119,997
16411,16,3981,15119,997
18195,16,3981,15119,997
19996,16,3981,15119,997
21782,16,3981,15119,997
23578,16,3981,15119,997
25389,16,3981,15119,997
27177,16,3981,15119,997
28994,16,3981,15119,997
30767,16,3981,15119,997
32575,16,3981,15119,997
34369,16,3981,15119,997
36194,16,3981,15119,997
37965,16,3981,15119,997
39800,16,3981,15119,997
41610,16,3981,15119,997
43412,16,3981,15119,997
45236,16,3981,15119,997
47045,16,3981,15119,997
48835,16,3981,15119,997
50635,16,3981,15119,997
52440,16,3981,15119,997
54229,16,3981,15119,997
56001,16,3981,15119,997
57818,16,3981,15119,997
59629,16,3981,15119,997
61438,16,3981,15119,997
63236,16,3981,15119,997
65020,16,3981,15119,997
66811,16,3981,15119,997
68621,16,3981,15119,997
70446,16,3981,15119,997
72235,16,3981,15119,997
74042,16,3981,15119,997
75826,16,3981,15119,997
77643,16,3981,15119,997
79426,16,3981,15119,997
81238,16,3981,15119,997
83062,16,3981,15119,997
84877,16,3981,15119,997
292,16,3981,15119,997
2108,16,3981,15119,997
3882,16,3981,15119,997
5684,16,3981,15119,997
7486,16,3981,15119,997
9297,16,3981,15119,997
11110,16,3981,15119,997
12898,16,3981,15119,997
14709,16,3981,15119,997
16520,16,3981,15119,997
18342,16,3981,15119,997
20156,16,3981,15119,997
21985,16,3981,15119,997
23788,16,3981,15119,997
25570,16,3981,15119,997
27383,16,3981,15119,997
29197,16,3981,15119,997
30980,16,3981,15119,997
32774,16,3981,15119,997
34595,16,3981,15119,997
36371,16,3981,15119,997
38160,16,3981,15119,997
39944,16,3981,15119,997
41766,16,3981,15119,997
43562,16,3981,15119,997
45369,16,3981,15119,997
47149,16,3981,15119,997
48923,16,3981,15119,997
50701,16,3981,15119,997
52473,16,3981,15119,997
54303,16,3981,15119,997
56124,16,3981,15119,997
57941,16,3981,15119,997
59727,16,3981,15119,997
61556,16,3981,15119,997
63364,16,3981,15119,997
65151,16,3981,15119,997
66969,16,3981,15119,997
68797,16,3981,15119,997
70585,16,3981,15119,997
72392,16,3981,15119,997
74165,16,3981,15119,997
75962,16,3981,15119,997
77764,16,3981,15119,997
79580,16,3981,15119,997
81368,16,3981,15119,997
83191,16,3981,15119,997
85004,16,3981,15119,997
415,16,3981,15119,997
2234,16,3981,15119,997
4010,16,3981,15119,997
5809,16,3981,15119,997
7612,16,3981,15119,997
9390,16,3981,15119,997
11195,16,3981,15119,997
13018,16,3981,15119,997
14838,16,3981,15119,997
16627,16,3981,15119,997
18450,16,3981,15119,997
20258,16,3981,15119,997
22056,16,3981,15119,997
23859,16,3981,15119,997
25683,16,3981,15119,997
27482,16,3981,15119,997
29264,16,3981,15119,997
31071,16,3981,15119,997
32849,16,3981,15119,997
34630,16,3981,15119,997
36432,16,3981,15119,997
38241,16,3981,15119,997
40064,16,3981,15119,997
41838,16,3981,15119,997
43641,16,3981,15119,997
45420,16,3981,15119,997
47220,16,3981,15119,997
48996,16,3981,15119,997
50813,16,3981,15119,997
52601,16,3981,15119,997
54385,16,3981,15119,997
56183,16,3981,15119,997
57989,16,3981,15119,997
59801,16,3981,15119,997
61597,16,3981,15119,997
63386,16,3981,15119,997
65214,16,3981,15119,997
67014,16,3981,15119,997
68786,16,3981,15119,997
70569,16,3981,15119,997
72386,16,3981,15119,997
74182,16,3981,15119,997
75993,16,3981,15119,997
77779,16,3981,15119,997
79561,16,3981,15119,997
81365,16,3981,15119,997
83148,16,3981,15119,997
84975,16,3981,15119,997
388,16,3981,15119,997
2186,16,3981,15119,997
3987,16,3981,15119,997
5802,16,3981,15119,997
7595,16,3981,15119,997
9412,16,3981,15119,997
11221,16,3981,15119,997
12999,16,3981,15119,997
14800,16,3981,15119,997
16583,16,3981,15119,997
18386,16,3981,15119,997
