sec,ID,x_coordinate(m),y_coordinate(m),AP_ID
802,50,14703,39123,895
2605,50,14703,39123,895
4383,50,14703,39123,895
6189,50,14703,39123,895
8018,50,14703,39123,895
9804,50,14703,39123,895
11609,50,14703,39123,895
13427,50,14703,39123,895
15203,50,14703,39123,895
17018,50,14703,39123,895
18828,50,14703,39123,895
20637,50,14703,39123,895
22413,50,14703,39123,895
24214,50,14703,39123,895
26028,50,14703,39123,895
27831,50,14703,39123,895
29660,50,14703,39123,895
31469,50,14703,39123,895
33274,50,14703,39123,895
35060,50,14703,39123,895
36840,50,14703,39123,895
38620,50,14703,39123,895
40424,50,14703,39123,895
42249,50,14703,39123,895
44036,50,14703,39123,895
45818,50,14703,39123,895
47636,50,14703,39123,895
49437,50,14703,39123,895
51217,50,14703,39123,895
53036,50,14703,39123,895
54821,50,14703,39123,895
56640,50,14703,39123,895
58467,50,14703,39123,895
60264,50,14703,39123,895
62079,50,14703,39123,895
63869,50,14703,39123,895
65686,50,14703,39123,895
67508,50,14703,39123,895
69292,50,14703,39123,895
71064,50,14703,39123,895
72862,50,14703,39123,895
74670,50,14703,39123,895
76479,50,14703,39123,895
78265,50,14703,39123,895
80057,50,14703,39123,895
81871,50,14703,39123,895
83690,50,14703,39123,895
85474,50,14703,39123,895
868,50,14703,39123,895
2686,50,14703,39123,895
4480,50,14703,39123,895
6303,50,14703,39123,895
8111,50,14703,39123,895
9924,50,14703,39123,895
11749,50,14703,39123,895
13561,50,14703,39123,895
15380,50,14703,39123,895
17170,50,14703,39123,895
18992,50,14703,39123,895
20814,50,14703,39123,895
22606,50,14703,39123,895
24384,50,14703,39123,895
26188,50,14703,39123,895
27978,50,14703,39123,895
29779,50,14703,39123,895
31599,50,14703,39123,895
33380,50,14703,39123,895
35164,50,14703,39123,895
36977,50,14703,39123,895
38787,50,14703,39123,895
40566,50,14703,39123,895
42382,50,14703,39123,895
44187,50,14703,39123,895
45985,50,14703,39123,895
47765,50,14703,39123,895
49540,50,14703,39123,895
51322,50,14703,39123,895
53098,50,14703,39123,895
54907,50,14703,39123,895
56733,50,14703,39123,895
58521,50,14703,39123,895
60301,50,14703,39123,895
62093,50,14703,39123,895
63907,50,14703,39123,895
65697,50,14703,39123,895
67526,50,14703,39123,895
69326,50,14703,39123,895
71156,50,14703,39123,895
72945,50,14703,39123,895
74756,50,14703,39123,895
76562,50,14703,39123,895
78364,50,14703,39123,895
80171,50,14703,39123,895
81963,50,14703,39123,895
83759,50,14703,39123,895
85588,50,14703,39123,895
1001,50,14703,39123,895
2817,50,14703,39123,895
4626,50,14703,39123,895
6452,50,14703,39123,895
8239,50,14703,39123,895
10058,50,14703,39123,895
11834,50,14703,39123,895
13659,50,14703,39123,895
15469,50,14703,39123,895
17270,50,14703,39123,895
19056,50,14703,39123,895
20848,50,14703,39123,895
22650,50,14703,39123,895
24451,50,14703,39123,895
26243,50,14703,39123,895
28068,50,14703,39123,895
29894,50,14703,39123,895
31714,50,14703,39123,895
32655,50,14703,39123,895
34460,50,14703,39123,895
37577,50,14703,39123,895
37690,50,14703,39123,895
39518,50,14703,39123,895
41347,50,14703,39123,895
43236,50,14703,39123,895
44434,50,14703,39123,895
47479,50,14703,39123,895
48371,50,14703,39123,895
48707,50,14703,39123,895
49212,50,14703,39123,895
49926,50,14703,39123,895
50470,50,14703,39123,895
52274,50,14703,39123,895
52399,50,14703,39123,895
52777,50,14703,39123,895
55947,50,14703,39123,895
57758,50,14703,39123,895
58993,50,14703,39123,895
29551,50,14703,39123,895
31208,50,14703,39123,895
32986,50,14703,39123,895
34762,50,14703,39123,895
36546,50,14703,39123,895
38331,50,14703,39123,895
40132,50,14703,39123,895
41933,50,14703,39123,895
43719,50,14703,39123,895
48208,50,14703,39123,895
48238,50,14703,39123,895
45845,50,14703,39123,895
45883,50,14703,39123,895
47663,50,14703,39123,895
49299,50,14703,39123,895
49442,50,14703,39123,895
51219,50,14703,39123,895
53462,50,14703,39123,895
53493,50,14703,39123,895
56914,50,14703,39123,895
58697,50,14703,39123,895
43505,50,14356,39196,1087
43534,50,14703,39123,895
45343,50,14703,39123,895
47134,50,14703,39123,895
48912,50,14703,39123,895
49333,50,14703,39123,895
51124,50,14703,39123,895
52944,50,14703,39123,895
54493,50,14703,39123,895
34160,50,14703,39123,895
34501,50,14703,39123,895
36327,50,14703,39123,895
38125,50,14703,39123,895
39917,50,14703,39123,895
41695,50,14703,39123,895
44152,50,14703,39123,895
44231,50,14703,39123,895
46045,50,14703,39123,895
49353,50,14703,39123,895
49526,50,14703,39123,895
51320,50,14703,39123,895
53084,50,14703,39123,895
36084,50,14703,39123,895
36183,50,14703,39123,895
37980,50,14703,39123,895
39798,50,14703,39123,895
41486,50,14703,39123,895
45017,50,14703,39123,895
45395,50,14703,39123,895
47175,50,14703,39123,895
48971,50,14703,39123,895
51232,50,14703,39123,895
51245,50,14703,39123,895
53031,50,14703,39123,895
53392,50,14703,39123,895
53480,50,14703,39123,895
55985,50,14703,39123,895
56152,50,14703,39123,895
56161,50,14703,39123,895
56164,50,14703,39123,895
56177,50,14703,39123,895
56245,50,14703,39123,895
56168,50,14356,39196,1087
32458,50,21799,33017,488
33233,50,21799,33017,488
33609,50,21799,33017,488
35269,50,21799,33017,488
37467,50,21799,33017,488
39279,50,21799,33017,488
42772,50,21399,33054,662
44583,50,21399,33054,662
46389,50,21399,33054,662
48194,50,21399,33054,662
48340,50,21399,33054,662
49956,50,21399,33054,662
51599,50,21399,33054,662
32139,50,21838,33058,516
46348,50,21606,33017,614
47770,50,21606,33017,614
48559,50,21606,33017,614
50377,50,21606,33017,614
52607,50,21399,33054,662
54386,50,21399,33054,662
56167,50,21399,33054,662
57963,50,21399,33054,662
59745,50,21399,33054,662
34323,50,21399,33054,663
36131,50,21399,33054,663
37913,50,21399,33054,663
31603,50,14703,39123,895
33413,50,14703,39123,895
34178,50,14703,39123,895
35477,50,14703,39123,895
38184,50,14703,39123,895
38441,50,14703,39123,895
40217,50,14703,39123,895
41760,50,14703,39123,895
44358,50,14703,39123,895
46115,50,14703,39123,895
47906,50,14703,39123,895
49743,50,14703,39123,895
51547,50,14703,39123,895
53368,50,14703,39123,895
56752,50,14703,39123,895
58567,50,14703,39123,895
60367,50,14703,39123,895
31702,50,14703,39123,895
32249,50,14703,39123,895
36930,50,14703,39123,895
37466,50,14703,39123,895
40085,50,14703,39123,895
40233,50,14703,39123,895
42036,50,14703,39123,895
44887,50,14703,39123,895
46002,50,14703,39123,895
46621,50,14703,39123,895
49010,50,14703,39123,895
53827,50,14703,39123,895
53969,50,14703,39123,895
57379,50,14703,39123,895
57624,50,14703,39123,895
59033,50,14703,39123,895
59071,50,14703,39123,895
60860,50,14703,39123,895
35852,50,14703,39123,895
36717,50,14703,39123,895
38536,50,14703,39123,895
40313,50,14703,39123,895
42116,50,14703,39123,895
43895,50,14703,39123,895
45687,50,14703,39123,895
47502,50,14703,39123,895
49323,50,14703,39123,895
51104,50,14703,39123,895
52913,50,14703,39123,895
54724,50,14703,39123,895
56536,50,14703,39123,895
58361,50,14703,39123,895
60178,50,14703,39123,895
61988,50,14703,39123,895
32520,50,21399,33054,663
34329,50,21399,33054,663
36144,50,21399,33054,663
37920,50,21399,33054,663
39184,50,21399,33054,662
41005,50,21399,33054,662
42824,50,21399,33054,662
44606,50,21399,33054,662
46387,50,21399,33054,662
48159,50,21399,33054,662
49939,50,21399,33054,662
51725,50,21399,33054,662
53505,50,21399,33054,662
55290,50,21399,33054,662
57091,50,21399,33054,662
58883,50,21399,33054,662
34668,50,14703,39123,895
34821,50,14703,39123,895
36613,50,14703,39123,895
39146,50,14703,39123,895
40493,50,14703,39123,895
42291,50,14703,39123,895
45548,50,14703,39123,895
45592,50,14703,39123,895
48022,50,14703,39123,895
48936,50,14703,39123,895
57313,50,14703,39123,895
57457,50,14703,39123,895
59258,50,14703,39123,895
61049,50,14703,39123,895
62830,50,14703,39123,895
47998,50,14356,39196,1087
34751,50,14703,39123,895
34913,50,14703,39123,895
36734,50,14703,39123,895
38514,50,14703,39123,895
40331,50,14703,39123,895
42117,50,14703,39123,895
46331,50,14703,39123,895
46551,50,14703,39123,895
48370,50,14703,39123,895
49401,50,14703,39123,895
49478,50,14703,39123,895
51263,50,14703,39123,895
53084,50,14703,39123,895
54873,50,14703,39123,895
55763,50,14703,39123,895
57541,50,14703,39123,895
39107,50,21399,33054,662
40919,50,21399,33054,662
42940,50,21399,33054,662
45004,50,21399,33054,662
48638,50,21399,33054,662
50441,50,21399,33054,662
54063,50,21399,33054,662
55843,50,21399,33054,662
57662,50,21399,33054,662
59887,50,21399,33054,662
32525,50,21838,33058,510
34304,50,21838,33058,510
36109,50,21838,33058,510
37883,50,21838,33058,510
32876,50,14703,39123,895
33170,50,14703,39123,895
34963,50,14703,39123,895
35604,50,14703,39123,895
35692,50,14703,39123,895
37481,50,14703,39123,895
46199,50,14703,39123,895
46222,50,14703,39123,895
47997,50,14703,39123,895
49773,50,14703,39123,895
51545,50,14703,39123,895
53354,50,14703,39123,895
55153,50,14703,39123,895
60097,50,14703,39123,895
60888,50,14703,39123,895
60950,50,14703,39123,895
62761,50,14703,39123,895
33117,50,14356,39196,1087
37694,50,14356,39196,1056
39523,50,14356,39196,1056
31663,50,14703,39123,895
33190,50,14703,39123,895
35158,50,14703,39123,895
35237,50,14703,39123,895
37048,50,14703,39123,895
37896,50,14703,39123,895
37914,50,14703,39123,895
