sec,ID,x_coordinate(m),y_coordinate(m),AP_ID
328,25,14703,39123,885
2118,25,14703,39123,885
3892,25,14703,39123,885
5667,25,14703,39123,885
7455,25,14703,39123,885
9245,25,14703,39123,885
11050,25,14703,39123,885
12871,25,14703,39123,885
14672,25,14703,39123,885
16464,25,14703,39123,885
18249,25,14703,39123,885
20032,25,14703,39123,885
21819,25,14703,39123,885
23636,25,14703,39123,885
25409,25,14703,39123,885
27201,25,14703,39123,885
29019,25,14703,39123,885
30803,25,14703,39123,885
32587,25,14703,39123,885
34375,25,14703,39123,885
36197,25,14703,39123,885
37981,25,14703,39123,885
39798,25,14703,39123,885
41605,25,14703,39123,885
43388,25,14703,39123,885
45209,25,14703,39123,885
47001,25,14703,39123,885
48821,25,14703,39123,885
50596,25,14703,39123,885
52413,25,14703,39123,885
54214,25,14703,39123,885
56021,25,14703,39123,885
57794,25,14703,39123,885
59615,25,14703,39123,885
61399,25,14703,39123,885
63223,25,14703,39123,885
65032,25,14703,39123,885
66812,25,14703,39123,885
68590,25,14703,39123,885
70388,25,14703,39123,885
72189,25,14703,39123,885
73981,25,14703,39123,885
75779,25,14703,39123,885
77557,25,14703,39123,885
79375,25,14703,39123,885
81175,25,14703,39123,885
82961,25,14703,39123,885
84737,25,14703,39123,885
161,25,14703,39123,885
1936,25,14703,39123,885
3717,25,14703,39123,885
5538,25,14703,39123,885
7366,25,14703,39123,885
9181,25,14703,39123,885
10955,25,14703,39123,885
12735,25,14703,39123,885
14509,25,14703,39123,885
16320,25,14703,39123,885
18123,25,14703,39123,885
19921,25,14703,39123,885
21710,25,14703,39123,885
23506,25,14703,39123,885
25288,25,14703,39123,885
27102,25,14703,39123,885
28908,25,14703,39123,885
30723,25,14703,39123,885
32507,25,14703,39123,885
34326,25,14703,39123,885
36148,25,14703,39123,885
37951,25,14703,39123,885
39735,25,14703,39123,885
41561,25,14703,39123,885
43345,25,14703,39123,885
45145,25,14703,39123,885
46958,25,14703,39123,885
48770,25,14703,39123,885
50558,25,14703,39123,885
52381,25,14703,39123,885
54191,25,14703,39123,885
55975,25,14703,39123,885
57757,25,14703,39123,885
59562,25,14703,39123,885
61373,25,14703,39123,885
63187,25,14703,39123,885
65012,25,14703,39123,885
66808,25,14703,39123,885
68630,25,14703,39123,885
70418,25,14703,39123,885
72221,25,14703,39123,885
74007,25,14703,39123,885
75804,25,14703,39123,885
77594,25,14703,39123,885
79370,25,14703,39123,885
81171,25,14703,39123,885
82968,25,14703,39123,885
84794,25,14703,39123,885
192,25,14703,39123,885
1988,25,14703,39123,885
3760,25,14703,39123,885
5533,25,14703,39123,885
7327,25,14703,39123,885
9107,25,14703,39123,885
10895,25,14703,39123,885
12681,25,14703,39123,885
14504,25,14703,39123,885
16276,25,14703,39123,885
18050,25,14703,39123,885
19834,25,14703,39123,885
21612,25,14703,39123,885
23426,25,14703,39123,885
25216,25,14703,39123,885
27039,25,14703,39123,885
28855,25,14703,39123,885
30649,25,14703,39123,885
32468,25,14703,39123,885
34266,25,14703,39123,885
36059,25,14703,39123,885
37848,25,14703,39123,885
39632,25,14703,39123,885
41422,25,14703,39123,885
43204,25,14703,39123,885
45001,25,14703,39123,885
46808,25,14703,39123,885
48580,25,14703,39123,885
50391,25,14703,39123,885
52215,25,14703,39123,885
54020,25,14703,39123,885
55811,25,14703,39123,885
57609,25,14703,39123,885
59423,25,14703,39123,885
61244,25,14703,39123,885
63028,25,14703,39123,885
64838,25,14703,39123,885
66650,25,14703,39123,885
68438,25,14703,39123,885
70216,25,14703,39123,885
72014,25,14703,39123,885
73791,25,14703,39123,885
75577,25,14703,39123,885
77371,25,14703,39123,885
79143,25,14703,39123,885
80930,25,14703,39123,885
82708,25,14703,39123,885
84496,25,14703,39123,885
86307,25,14703,39123,885
1713,25,14703,39123,885
3488,25,14703,39123,885
5311,25,14703,39123,885
7093,25,14703,39123,885
8919,25,14703,39123,885
10724,25,14703,39123,885
12516,25,14703,39123,885
14338,25,14703,39123,885
16137,25,14703,39123,885
17958,25,14703,39123,885
19779,25,14703,39123,885
21589,25,14703,39123,885
23418,25,14703,39123,885
25229,25,14703,39123,885
27010,25,14703,39123,885
28798,25,14703,39123,885
30599,25,14703,39123,885
32400,25,14703,39123,885
34216,25,14703,39123,885
36025,25,14703,39123,885
37836,25,14703,39123,885
39666,25,14703,39123,885
41471,25,14703,39123,885
43259,25,14703,39123,885
45032,25,14703,39123,885
46829,25,14703,39123,885
48630,25,14703,39123,885
50431,25,14703,39123,885
52209,25,14703,39123,885
54009,25,14703,39123,885
55808,25,14703,39123,885
57596,25,14703,39123,885
59403,25,14703,39123,885
61203,25,14703,39123,885
62986,25,14703,39123,885
64770,25,14703,39123,885
66595,25,14703,39123,885
68414,25,14703,39123,885
70213,25,14703,39123,885
72038,25,14703,39123,885
73836,25,14703,39123,885
75622,25,14703,39123,885
77448,25,14703,39123,885
79257,25,14703,39123,885
81065,25,14703,39123,885
82853,25,14703,39123,885
84680,25,14703,39123,885
76,25,14703,39123,885
1882,25,14703,39123,885
3666,25,14703,39123,885
5446,25,14703,39123,885
7240,25,14703,39123,885
9045,25,14703,39123,885
10836,25,14703,39123,885
12620,25,14703,39123,885
14412,25,14703,39123,885
16217,25,14703,39123,885
18012,25,14703,39123,885
19800,25,14703,39123,885
21629,25,14703,39123,885
23439,25,14703,39123,885
25229,25,14703,39123,885
