sec,ID,x_coordinate(m),y_coordinate(m),AP_ID
143,12,21836,32737,184
78551,12,21836,32737,184
80378,12,21836,32737,184
82167,12,21836,32737,184
83976,12,21836,32737,184
83983,12,21836,32737,184
85774,12,21836,32737,184
1991,12,21728,32711,85
1828,12,21804,32683,136
1814,12,21804,32683,180
1818,12,21804,32683,180
85782,12,21804,32683,180
1843,12,21804,32683,137
1863,12,21804,32683,128
1953,12,21804,32683,170
1964,12,21804,32683,122
4931,12,21728,32711,62
244,12,21836,32737,184
2042,12,21836,32737,184
3858,12,21836,32737,184
58970,12,21836,32737,184
60756,12,21836,32737,184
62573,12,21836,32737,184
64370,12,21836,32737,184
66182,12,21836,32737,184
67556,12,21728,32711,85
4437,12,21804,32683,180
57296,12,21804,32683,180
4448,12,21804,32683,182
67345,12,21804,32683,182
4460,12,21804,32683,181
4470,12,21804,32683,179
67371,12,21804,32683,179
54040,12,21804,32683,128
55843,12,21804,32683,128
67381,12,21804,32683,128
4860,12,21804,32683,121
4874,12,21804,32683,170
67516,12,21804,32683,170
4942,12,21728,32711,153
67505,12,21804,32683,171
57323,12,21836,32737,178
58269,12,21836,32737,178
57362,12,21804,32683,59
55772,12,21804,32683,129
57282,12,21804,32683,136
67355,12,21804,32683,136
57271,12,21804,32683,132
51130,12,21742,32802,262
66658,12,21480,33215,799
66806,12,21510,33050,520
66826,12,21606,33017,622
50897,12,21844,32793,114
51165,12,21742,32802,253
51101,12,21779,32818,163
51069,12,21779,32818,164
50919,12,21779,32818,97
66857,12,21510,33050,541
51620,12,21480,33215,774
51788,12,21480,33215,774
65528,12,21480,33215,774
50369,12,21804,32683,139
50841,12,21804,32683,139
50875,12,21804,32683,139
50397,12,21836,32737,178
66648,12,21480,33215,787
66694,12,21480,33215,770
66878,12,21606,33017,616
66741,12,21579,33200,768
66846,12,21510,33050,518
51772,12,21480,33215,792
65587,12,21480,33215,792
65836,12,21480,33215,798
66685,12,21480,33215,798
50333,12,21804,32683,60
51769,12,21480,33215,791
50936,12,21742,32802,232
65521,12,21480,33215,771
51782,12,21480,33215,793
65533,12,21480,33215,793
50359,12,21804,32683,58
50849,12,21804,32683,58
50346,12,21804,32683,177
51797,12,21480,33215,794
53611,12,21480,33215,794
55412,12,21480,33215,794
57194,12,21480,33215,794
58973,12,21480,33215,794
58978,12,21480,33215,794
60756,12,21480,33215,794
62545,12,21480,33215,794
64376,12,21480,33215,794
61182,12,21613,32759,208
61274,12,21613,32759,204
61229,12,21613,32759,213
61184,12,21613,32759,221
45503,12,21804,32683,122
45526,12,21804,32683,53
47022,12,21824,32935,423
47307,12,21480,33215,770
47742,12,21480,33215,770
46903,12,21779,32818,97
45517,12,21728,32711,77
65723,12,21728,32711,77
47280,12,21579,33200,768
47809,12,21579,33200,768
47117,12,21740,33078,447
47899,12,21606,33017,616
45535,12,21804,32683,60
45484,12,21728,32711,153
65764,12,21728,32711,153
47857,12,21510,33050,521
46883,12,21844,32793,114
