sec,ID,x_coordinate(m),y_coordinate(m),AP_ID
361,29,21728,32711,85
2258,29,21728,32711,85
4147,29,21728,32711,85
6116,29,21728,32711,85
8015,29,21728,32711,85
9925,29,21728,32711,85
11847,29,21728,32711,85
13767,29,21728,32711,85
15652,29,21728,32711,85
17547,29,21728,32711,85
19447,29,21728,32711,85
21333,29,21728,32711,85
23228,29,21728,32711,85
25119,29,21728,32711,85
26921,29,21728,32711,85
28820,29,21728,32711,85
30741,29,21728,32711,85
32631,29,21728,32711,85
34545,29,21728,32711,85
36418,29,21728,32711,85
38314,29,21728,32711,85
40119,29,21728,32711,85
41985,29,21728,32711,85
43877,29,21728,32711,85
45688,29,21728,32711,85
47474,29,21728,32711,85
49371,29,21728,32711,85
51220,29,21728,32711,85
53114,29,21728,32711,85
55009,29,21728,32711,85
56892,29,21728,32711,85
58793,29,21728,32711,85
60699,29,21728,32711,85
62608,29,21728,32711,85
64488,29,21728,32711,85
66381,29,21728,32711,85
68267,29,21728,32711,85
70150,29,21728,32711,85
71924,29,21728,32711,85
73815,29,21728,32711,85
75619,29,21728,32711,85
77422,29,21728,32711,85
79262,29,21728,32711,85
79267,29,21728,32711,85
81139,29,21728,32711,85
83007,29,21728,32711,85
84899,29,21728,32711,85
314,29,21728,32711,85
2190,29,21728,32711,85
4092,29,21728,32711,85
5963,29,21728,32711,85
7844,29,21728,32711,85
9726,29,21728,32711,85
11594,29,21728,32711,85
13485,29,21728,32711,85
15375,29,21728,32711,85
17210,29,21728,32711,85
19105,29,21728,32711,85
21022,29,21728,32711,85
22854,29,21728,32711,85
24707,29,21728,32711,85
26577,29,21728,32711,85
28468,29,21728,32711,85
30338,29,21728,32711,85
32201,29,21728,32711,85
33975,29,21728,32711,85
35877,29,21728,32711,85
37746,29,21728,32711,85
39557,29,21728,32711,85
41450,29,21728,32711,85
43340,29,21728,32711,85
45238,29,21728,32711,85
47114,29,21728,32711,85
48888,29,21728,32711,85
50835,29,21728,32711,85
52736,29,21728,32711,85
54636,29,21728,32711,85
56507,29,21728,32711,85
58328,29,21728,32711,85
60220,29,21728,32711,85
62087,29,21728,32711,85
63997,29,21728,32711,85
65877,29,21728,32711,85
