sec,ID,x_coordinate(m),y_coordinate(m),AP_ID
310,24,21479,33032,701
1190,24,21479,33032,701
1199,24,21479,33032,701
1827,24,21479,33032,701
2710,24,21479,33032,701
3152,24,21479,33032,701
4035,24,21479,33032,701
4915,24,21479,33032,701
4924,24,21479,33032,701
5795,24,21479,33032,701
6675,24,21479,33032,701
7555,24,21479,33032,701
9085,24,21479,33032,701
9965,24,21479,33032,701
10845,24,21479,33032,701
11725,24,21479,33032,701
11946,24,21479,33032,701
12234,24,21479,33032,701
12878,24,21479,33032,701
13760,24,21479,33032,701
14023,24,21479,33032,701
14640,24,21479,33032,701
15520,24,21479,33032,701
16203,24,21479,33032,701
16553,24,21479,33032,701
17435,24,21479,33032,701
18315,24,21479,33032,701
18787,24,21479,33032,701
19571,24,21479,33032,701
20455,24,21479,33032,701
21335,24,21479,33032,701
21585,24,21479,33032,701
22215,24,21479,33032,701
22337,24,21479,33032,701
22409,24,21479,33032,701
23100,24,21479,33032,701
23816,24,21479,33032,701
23824,24,21479,33032,701
24699,24,21479,33032,701
25579,24,21479,33032,701
26334,24,21479,33032,701
26456,24,21479,33032,701
27215,24,21479,33032,701
27223,24,21479,33032,701
28094,24,21479,33032,701
28307,24,21479,33032,701
28974,24,21479,33032,701
29854,24,21479,33032,701
30314,24,21479,33032,701
31199,24,21479,33032,701
32079,24,21479,33032,701
32959,24,21479,33032,701
33630,24,21479,33032,701
34514,24,21479,33032,701
35394,24,21479,33032,701
35888,24,21479,33032,701
35896,24,21479,33032,701
36769,24,21479,33032,701
37106,24,21479,33032,701
37114,24,21479,33032,701
37130,24,21479,33032,701
37166,24,21479,33032,701
37288,24,21479,33032,701
37312,24,21479,33032,701
37366,24,21479,33032,701
37488,24,21479,33032,701
37523,24,21479,33032,701
37550,24,21479,33032,701
37600,24,21479,33032,701
37831,24,21479,33032,701
37864,24,21479,33032,701
38334,24,21479,33032,701
38451,24,21479,33032,701
38814,24,21479,33032,701
38938,24,21479,33032,701
39542,24,21479,33032,701
40424,24,21479,33032,701
41127,24,21479,33032,701
41752,24,21479,33032,701
41765,24,21479,33032,701
41792,24,21479,33032,701
42358,24,21479,33032,701
42979,24,21479,33032,701
42987,24,21479,33032,701
43085,24,21479,33032,701
43130,24,21479,33032,701
43255,24,21479,33032,701
43859,24,21479,33032,701
43867,24,21479,33032,701
44739,24,21479,33032,701
44817,24,21479,33032,701
45026,24,21479,33032,701
45308,24,21479,33032,701
45783,24,21479,33032,701
46664,24,21479,33032,701
46682,24,21479,33032,701
46787,24,21479,33032,701
47544,24,21479,33032,701
47898,24,21479,33032,701
48424,24,21479,33032,701
48640,24,21479,33032,701
48830,24,21479,33032,701
49714,24,21479,33032,701
50019,24,21479,33032,701
50357,24,21479,33032,701
50480,24,21479,33032,701
51239,24,21479,33032,701
52119,24,21479,33032,701
52999,24,21479,33032,701
53563,24,21479,33032,701
54444,24,21479,33032,701
55324,24,21479,33032,701
55867,24,21479,33032,701
55876,24,21479,33032,701
56749,24,21479,33032,701
57629,24,21479,33032,701
58509,24,21479,33032,701
59280,24,21479,33032,701
59378,24,21479,33032,701
60164,24,21479,33032,701
60419,24,21479,33032,701
60869,24,21479,33032,701
61127,24,21479,33032,701
61754,24,21479,33032,701
61762,24,21479,33032,701
62300,24,21479,33032,701
62414,24,21479,33032,701
62498,24,21479,33032,701
62580,24,21479,33032,701
62613,24,21479,33032,701
62636,24,21479,33032,701
62786,24,21479,33032,701
63161,24,21479,33032,701
63246,24,21479,33032,701
63440,24,21479,33032,701
64154,24,21479,33032,701
64163,24,21479,33032,701
65033,24,21479,33032,701
65914,24,21479,33032,701
66758,24,21479,33032,701
67507,24,21479,33032,701
68388,24,21479,33032,701
68450,24,21479,33032,701
69086,24,21479,33032,701
69612,24,21479,33032,701
70493,24,21479,33032,701
71373,24,21479,33032,701
72253,24,21479,33032,701
72419,24,21479,33032,701
72427,24,21479,33032,701
72461,24,21479,33032,701
72492,24,21479,33032,701
72530,24,21479,33032,701
72657,24,21479,33032,701
73050,24,21479,33032,701
73111,24,21479,33032,701
73585,24,21479,33032,701
73708,24,21479,33032,701
73755,24,21479,33032,701
73788,24,21479,33032,701
74098,24,21479,33032,701
74107,24,21479,33032,701
74160,24,21479,33032,701
74317,24,21479,33032,701
74920,24,21479,33032,701
74966,24,21479,33032,701
75274,24,21479,33032,701
75330,24,21479,33032,701
75417,24,21479,33032,701
75651,24,21479,33032,701
75973,24,21479,33032,701
