sec,ID,x_coordinate(m),y_coordinate(m),AP_ID
1172,65,14703,39123,887
2949,65,14703,39123,887
4758,65,14703,39123,887
6561,65,14703,39123,887
8353,65,14703,39123,887
10175,65,14703,39123,887
12002,65,14703,39123,887
13823,65,14703,39123,887
15606,65,14703,39123,887
17398,65,14703,39123,887
19198,65,14703,39123,887
20976,65,14703,39123,887
22775,65,14703,39123,887
24573,65,14703,39123,887
26374,65,14703,39123,887
28198,65,14703,39123,887
29999,65,14703,39123,887
31795,65,14703,39123,887
33573,65,14703,39123,887
35376,65,14703,39123,887
37204,65,14703,39123,887
39030,65,14703,39123,887
40857,65,14703,39123,887
42659,65,14703,39123,887
44466,65,14703,39123,887
46264,65,14703,39123,887
48048,65,14703,39123,887
49868,65,14703,39123,887
51683,65,14703,39123,887
53469,65,14703,39123,887
55285,65,14703,39123,887
57079,65,14703,39123,887
58939,65,14703,39123,887
60726,65,14703,39123,887
62519,65,14703,39123,887
64336,65,14703,39123,887
66161,65,14703,39123,887
67941,65,14703,39123,887
69764,65,14703,39123,887
71591,65,14703,39123,887
73365,65,14703,39123,887
75169,65,14703,39123,887
76944,65,14703,39123,887
78764,65,14703,39123,887
80554,65,14703,39123,887
82356,65,14703,39123,887
84179,65,14703,39123,887
85959,65,14703,39123,887
1364,65,14703,39123,887
3192,65,14703,39123,887
5007,65,14703,39123,887
6787,65,14703,39123,887
8582,65,14703,39123,887
10354,65,14703,39123,887
12142,65,14703,39123,887
13949,65,14703,39123,887
15721,65,14703,39123,887
17543,65,14703,39123,887
19354,65,14703,39123,887
21177,65,14703,39123,887
22985,65,14703,39123,887
24786,65,14703,39123,887
26566,65,14703,39123,887
28369,65,14703,39123,887
30162,65,14703,39123,887
31954,65,14703,39123,887
33759,65,14703,39123,887
35539,65,14703,39123,887
37355,65,14703,39123,887
39137,65,14703,39123,887
40934,65,14703,39123,887
42720,65,14703,39123,887
44498,65,14703,39123,887
46295,65,14703,39123,887
48122,65,14703,39123,887
49896,65,14703,39123,887
51692,65,14703,39123,887
53485,65,14703,39123,887
55304,65,14703,39123,887
57096,65,14703,39123,887
58892,65,14703,39123,887
60668,65,14703,39123,887
62449,65,14703,39123,887
64262,65,14703,39123,887
66089,65,14703,39123,887
67909,65,14703,39123,887
69687,65,14703,39123,887
71510,65,14703,39123,887
73314,65,14703,39123,887
75092,65,14703,39123,887
76866,65,14703,39123,887
78644,65,14703,39123,887
80422,65,14703,39123,887
82204,65,14703,39123,887
84023,65,14703,39123,887
85819,65,14703,39123,887
17508,65,14703,39123,886
17548,65,14703,39123,886
17563,65,14703,39123,886
21409,65,14703,39123,886
1222,65,14703,39123,887
3002,65,14703,39123,887
4789,65,14703,39123,887
6585,65,14703,39123,887
8406,65,14703,39123,887
10221,65,14703,39123,887
12047,65,14703,39123,887
13843,65,14703,39123,887
13874,65,14703,39123,887
15704,65,14703,39123,887
17484,65,14703,39123,887
17520,65,14703,39123,887
17561,65,14703,39123,887
17615,65,14703,39123,887
19421,65,14703,39123,887
21213,65,14703,39123,887
21459,65,14703,39123,887
23261,65,14703,39123,887
25039,65,14703,39123,887
26828,65,14703,39123,887
28636,65,14703,39123,887
30443,65,14703,39123,887
32268,65,14703,39123,887
34059,65,14703,39123,887
35833,65,14703,39123,887
37625,65,14703,39123,887
39440,65,14703,39123,887
41252,65,14703,39123,887
43044,65,14703,39123,887
44083,65,14703,39123,887
45863,65,14703,39123,887
47687,65,14703,39123,887
49485,65,14703,39123,887
51285,65,14703,39123,887
53085,65,14703,39123,887
54873,65,14703,39123,887
56656,65,14703,39123,887
57044,65,14703,39123,887
58873,65,14703,39123,887
60647,65,14703,39123,887
60709,65,14703,39123,887
62503,65,14703,39123,887
64317,65,14703,39123,887
66105,65,14703,39123,887
67878,65,14703,39123,887
69685,65,14703,39123,887
71496,65,14703,39123,887
73289,65,14703,39123,887
75090,65,14703,39123,887
76890,65,14703,39123,887
78664,65,14703,39123,887
80483,65,14703,39123,887
82304,65,14703,39123,887
84110,65,14703,39123,887
85906,65,14703,39123,887
1321,65,14703,39123,887
3144,65,14703,39123,887
4958,65,14703,39123,887
6783,65,14703,39123,887
8569,65,14703,39123,887
10395,65,14703,39123,887
12183,65,14703,39123,887
14006,65,14703,39123,887
15807,65,14703,39123,887
17614,65,14703,39123,887
19403,65,14703,39123,887
21189,65,14703,39123,887
22981,65,14703,39123,887
24801,65,14703,39123,887
26599,65,14703,39123,887
28426,65,14703,39123,887
30232,65,14703,39123,887
32028,65,14703,39123,887
33847,65,14703,39123,887
35629,65,14703,39123,887
37416,65,14703,39123,887
39188,65,14703,39123,887
40986,65,14703,39123,887
42806,65,14703,39123,887
44586,65,14703,39123,887
46361,65,14703,39123,887
48166,65,14703,39123,887
49967,65,14703,39123,887
51795,65,14703,39123,887
53602,65,14703,39123,887
