sec,ID,x_coordinate(m),y_coordinate(m),AP_ID
1353,73,21534,32313,26
1376,73,21534,32313,26
1406,73,21534,32313,26
74740,73,21534,32313,19
76231,73,21534,32313,15
53974,73,21534,32313,19
53980,73,21534,32313,19
47619,73,14356,39196,1097
76953,73,21728,32711,141
77369,73,21534,32313,21
69181,73,21534,32313,19
69211,73,21534,32313,19
69196,73,21534,32313,26
80436,73,21534,32313,19
77637,73,21534,32313,19
9707,73,21534,32313,15
9708,73,21534,32313,15
75408,73,21534,32313,26
75417,73,21534,32313,26
