sec,ID,x_coordinate(m),y_coordinate(m),AP_ID
911,53,14703,39123,904
2735,53,14703,39123,904
4529,53,14703,39123,904
6334,53,14703,39123,904
8150,53,14703,39123,904
9751,53,14703,39123,904
11566,53,14703,39123,904
13361,53,14703,39123,904
15145,53,14703,39123,904
16960,53,14703,39123,904
18740,53,14703,39123,904
20536,53,14703,39123,904
22356,53,14703,39123,904
24182,53,14703,39123,904
25958,53,14703,39123,904
27774,53,14703,39123,904
29595,53,14703,39123,904
31406,53,14703,39123,904
33235,53,14703,39123,904
35038,53,14703,39123,904
36826,53,14703,39123,904
38624,53,14703,39123,904
40399,53,14703,39123,904
42216,53,14703,39123,904
44019,53,14703,39123,904
45838,53,14703,39123,904
47660,53,14703,39123,904
49507,53,14703,39123,904
51334,53,14703,39123,904
53139,53,14703,39123,904
54927,53,14703,39123,904
56744,53,14703,39123,904
58558,53,14703,39123,904
60361,53,14703,39123,904
62155,53,14703,39123,904
63969,53,14703,39123,904
65772,53,14703,39123,904
67566,53,14703,39123,904
69366,53,14703,39123,904
71163,53,14703,39123,904
72985,53,14703,39123,904
74783,53,14703,39123,904
76559,53,14703,39123,904
78369,53,14703,39123,904
80161,53,14703,39123,904
81939,53,14703,39123,904
83719,53,14703,39123,904
85505,53,14703,39123,904
933,53,14703,39123,904
2719,53,14703,39123,904
4542,53,14703,39123,904
6356,53,14703,39123,904
8171,53,14703,39123,904
9971,53,14703,39123,904
11772,53,14703,39123,904
13557,53,14703,39123,904
15347,53,14703,39123,904
17125,53,14703,39123,904
18946,53,14703,39123,904
20758,53,14703,39123,904
22554,53,14703,39123,904
24340,53,14703,39123,904
26136,53,14703,39123,904
27927,53,14703,39123,904
29382,53,14703,39123,885
31211,53,14703,39123,885
32985,53,14703,39123,885
34794,53,14703,39123,885
36570,53,14703,39123,885
38392,53,14703,39123,885
40186,53,14703,39123,885
41987,53,14703,39123,885
43765,53,14703,39123,885
45560,53,14703,39123,885
47377,53,14703,39123,885
49163,53,14703,39123,885
50964,53,14703,39123,885
52745,53,14703,39123,885
54537,53,14703,39123,885
56322,53,14703,39123,885
58106,53,14703,39123,885
58167,53,14703,39123,885
59943,53,14703,39123,885
61735,53,14703,39123,885
63542,53,14703,39123,885
65359,53,14703,39123,885
67165,53,14703,39123,885
68984,53,14703,39123,885
70791,53,14703,39123,885
72607,53,14703,39123,885
74393,53,14703,39123,885
76169,53,14703,39123,885
77991,53,14703,39123,885
79770,53,14703,39123,885
81564,53,14703,39123,885
83348,53,14703,39123,885
85146,53,14703,39123,885
520,53,14703,39123,885
2293,53,14703,39123,885
4093,53,14703,39123,885
5912,53,14703,39123,885
7712,53,14703,39123,885
9509,53,14703,39123,885
11326,53,14703,39123,885
13127,53,14703,39123,885
14913,53,14703,39123,885
16690,53,14703,39123,885
18480,53,14703,39123,885
20262,53,14703,39123,885
22063,53,14703,39123,885
23873,53,14703,39123,885
25696,53,14703,39123,885
27513,53,14703,39123,885
29285,53,14703,39123,885
31070,53,14703,39123,885
32851,53,14703,39123,885
34653,53,14703,39123,885
36449,53,14703,39123,885
38258,53,14703,39123,885
40086,53,14703,39123,885
41887,53,14703,39123,885
43669,53,14703,39123,885
45445,53,14703,39123,885
47250,53,14703,39123,885
49044,53,14703,39123,885
50863,53,14703,39123,885
52643,53,14703,39123,885
54453,53,14703,39123,885
56225,53,14703,39123,885
58023,53,14703,39123,885
59801,53,14703,39123,885
61590,53,14703,39123,885
63386,53,14703,39123,885
65187,53,14703,39123,885
67004,53,14703,39123,885
68785,53,14703,39123,885
70569,53,14703,39123,885
72357,53,14703,39123,885
74139,53,14703,39123,885
75955,53,14703,39123,885
77734,53,14703,39123,885
79506,53,14703,39123,885
81327,53,14703,39123,885
83151,53,14703,39123,885
84936,53,14703,39123,885
29190,53,14703,39123,904
31005,53,14703,39123,904
32828,53,14703,39123,904
34610,53,14703,39123,904
36388,53,14703,39123,904
38163,53,14703,39123,904
39959,53,14703,39123,904
41783,53,14703,39123,904
43569,53,14703,39123,904
45379,53,14703,39123,904
47157,53,14703,39123,904
48931,53,14703,39123,904
50748,53,14703,39123,904
52576,53,14703,39123,904
54380,53,14703,39123,904
56154,53,14703,39123,904
57940,53,14703,39123,904
59418,53,14703,39123,904
61204,53,14703,39123,904
63030,53,14703,39123,904
64808,53,14703,39123,904
66594,53,14703,39123,904
68388,53,14703,39123,904
70210,53,14703,39123,904
72011,53,14703,39123,904
73811,53,14703,39123,904
75605,53,14703,39123,904
77382,53,14703,39123,904
79154,53,14703,39123,904
80953,53,14703,39123,904
82781,53,14703,39123,904
84576,53,14703,39123,904
86381,53,14703,39123,904
359,53,14703,39123,885
2153,53,14703,39123,885
3973,53,14703,39123,885
5771,53,14703,39123,885
7569,53,14703,39123,885
9373,53,14703,39123,885
11151,53,14703,39123,885
12943,53,14703,39123,885
14741,53,14703,39123,885
16535,53,14703,39123,885
18337,53,14703,39123,885
20129,53,14703,39123,885
21929,53,14703,39123,885
23746,53,14703,39123,885
25572,53,14703,39123,885
27375,53,14703,39123,885
29178,53,14703,39123,885
1800,53,14703,39123,904
3582,53,14703,39123,904
5388,53,14703,39123,904
7190,53,14703,39123,904
8962,53,14703,39123,904
10789,53,14703,39123,904
12617,53,14703,39123,904
14424,53,14703,39123,904
16235,53,14703,39123,904
18047,53,14703,39123,904
19876,53,14703,39123,904
21681,53,14703,39123,904
23462,53,14703,39123,904
25275,53,14703,39123,904
27098,53,14703,39123,904
28892,53,14703,39123,904
30683,53,14703,39123,904
32459,53,14703,39123,904
34259,53,14703,39123,904
36033,53,14703,39123,904
37813,53,14703,39123,904
39586,53,14703,39123,904
41359,53,14703,39123,904
43152,53,14703,39123,904
44971,53,14703,39123,904
46766,53,14703,39123,904
48566,53,14703,39123,904
50393,53,14703,39123,904
52198,53,14703,39123,904
54014,53,14703,39123,904
55815,53,14703,39123,904
57616,53,14703,39123,904
59446,53,14703,39123,904
61266,53,14703,39123,904
63044,53,14703,39123,904
64824,53,14703,39123,904
66638,53,14703,39123,904
68449,53,14703,39123,904
70264,53,14703,39123,904
72074,53,14703,39123,904
73858,53,14703,39123,904
75650,53,14703,39123,904
77440,53,14703,39123,904
79244,53,14703,39123,904
81057,53,14703,39123,904
82884,53,14703,39123,904
84700,53,14703,39123,904
37367,53,14703,39123,885
39167,53,14703,39123,885
40952,53,14703,39123,885
42771,53,14703,39123,885
44594,53,14703,39123,885
46412,53,14703,39123,885
48196,53,14703,39123,885
50013,53,14703,39123,885
51785,53,14703,39123,885
53602,53,14703,39123,885
55381,53,14703,39123,885
57202,53,14703,39123,885
59014,53,14703,39123,885
60824,53,14703,39123,885
62631,53,14703,39123,885
64438,53,14703,39123,885
66216,53,14703,39123,885
66392,53,14703,39123,885
68211,53,14703,39123,885
70017,53,14703,39123,885
71813,53,14703,39123,885
73640,53,14703,39123,885
75450,53,14703,39123,885
77255,53,14703,39123,885
79064,53,14703,39123,885
80862,53,14703,39123,885
82659,53,14703,39123,885
84457,53,14703,39123,885
86274,53,14703,39123,885
127,53,14703,39123,904
1956,53,14703,39123,904
3786,53,14703,39123,904
5593,53,14703,39123,904
7400,53,14703,39123,904
9200,53,14703,39123,904
11014,53,14703,39123,904
12823,53,14703,39123,904
14610,53,14703,39123,904
16400,53,14703,39123,904
18188,53,14703,39123,904
19993,53,14703,39123,904
21820,53,14703,39123,904
23619,53,14703,39123,904
25434,53,14703,39123,904
27206,53,14703,39123,904
28999,53,14703,39123,904
30798,53,14703,39123,904
32580,53,14703,39123,904
34362,53,14703,39123,904
36152,53,14703,39123,904
1696,53,14703,39123,885
3486,53,14703,39123,885
5280,53,14703,39123,885
7056,53,14703,39123,885
8877,53,14703,39123,885
10701,53,14703,39123,885
12491,53,14703,39123,885
14296,53,14703,39123,885
16080,53,14703,39123,885
17881,53,14703,39123,885
19705,53,14703,39123,885
21534,53,14703,39123,885
23327,53,14703,39123,885
