sec,ID,x_coordinate(m),y_coordinate(m),AP_ID
597,39,21606,33017,629
770,39,21606,33017,629
2271,39,21606,33017,629
3888,39,21606,33017,629
3910,39,21606,33017,629
3934,39,21606,33017,629
5561,39,21606,33017,629
5576,39,21606,33017,629
6302,39,21606,33017,629
6377,39,21606,33017,629
8011,39,21606,33017,629
9681,39,21606,33017,629
11356,39,21606,33017,629
11371,39,21606,33017,629
13041,39,21606,33017,629
14711,39,21606,33017,629
16254,39,21606,33017,629
17926,39,21606,33017,629
19596,39,21606,33017,629
21233,39,21606,33017,629
22507,39,21606,33017,629
22561,39,21606,33017,629
24176,39,21606,33017,629
25491,39,21606,33017,629
25551,39,21606,33017,629
25891,39,21606,33017,629
27161,39,21606,33017,629
28831,39,21606,33017,629
29640,39,21606,33017,629
30383,39,21606,33017,629
30401,39,21606,33017,629
31326,39,21606,33017,629
32361,39,21606,33017,629
32950,39,21606,33017,629
33262,39,21606,33017,629
33934,39,21606,33017,629
35005,39,21606,33017,629
36298,39,21606,33017,629
37382,39,21606,33017,629
38979,39,21606,33017,629
40651,39,21606,33017,629
42345,39,21606,33017,629
42356,39,21606,33017,629
42754,39,21606,33017,629
42798,39,21606,33017,629
44581,39,21606,33017,629
44697,39,21606,33017,629
46261,39,21606,33017,629
47931,39,21606,33017,629
49606,39,21606,33017,629
51291,39,21606,33017,629
52340,39,21606,33017,629
53544,39,21606,33017,629
55216,39,21606,33017,629
56099,39,21606,33017,629
57771,39,21606,33017,629
58669,39,21606,33017,629
60341,39,21606,33017,629
61246,39,21606,33017,629
61353,39,21606,33017,629
62141,39,21606,33017,629
63336,39,21606,33017,629
64711,39,21606,33017,629
65321,39,21606,33017,629
66346,39,21606,33017,629
67037,39,21606,33017,629
67139,39,21606,33017,629
68870,39,21606,33017,629
69248,39,21606,33017,629
69258,39,21606,33017,629
70906,39,21606,33017,629
72546,39,21606,33017,629
74181,39,21606,33017,629
75816,39,21606,33017,629
76081,39,21606,33017,629
77451,39,21606,33017,629
79086,39,21606,33017,629
80731,39,21606,33017,629
82366,39,21606,33017,629
82382,39,21606,33017,629
83970,39,21606,33017,629
83979,39,21606,33017,629
85601,39,21606,33017,629
22503,39,21606,33017,630
37378,39,21606,33017,630
836,39,21606,33017,629
1535,39,21606,33017,629
1546,39,21606,33017,629
2471,39,21606,33017,629
4106,39,21606,33017,629
4641,39,21606,33017,629
5125,39,21606,33017,629
6760,39,21606,33017,629
8391,39,21606,33017,629
10026,39,21606,33017,629
11355,39,21606,33017,629
12432,39,21606,33017,629
14066,39,21606,33017,629
14143,39,21606,33017,629
14165,39,21606,33017,629
14217,39,21606,33017,629
15701,39,21606,33017,629
17336,39,21606,33017,629
18971,39,21606,33017,629
20606,39,21606,33017,629
22241,39,21606,33017,629
22869,39,21606,33017,629
24506,39,21606,33017,629
25471,39,21606,33017,629
25871,39,21606,33017,629
26480,39,21606,33017,629
26879,39,21606,33017,629
27618,39,21606,33017,629
29443,39,21606,33017,629
29448,39,21606,33017,629
31262,39,21606,33017,629
31267,39,21606,33017,629
34171,39,21606,33017,629
34651,39,21606,33017,629
35723,39,21606,33017,629
37613,39,21606,33017,629
38333,39,21606,33017,629
39664,39,21606,33017,629
41326,39,21606,33017,629
42986,39,21606,33017,629
43250,39,21606,33017,629
43912,39,21606,33017,629
45571,39,21606,33017,629
47135,39,21606,33017,629
47241,39,21606,33017,629
47638,39,21606,33017,629
49504,39,21606,33017,629
51414,39,21606,33017,629
52656,39,21606,33017,629
53633,39,21606,33017,629
53647,39,21606,33017,629
54473,39,21606,33017,629
56021,39,21606,33017,629
57121,39,21606,33017,629
58930,39,21606,33017,629
58937,39,21606,33017,629
60606,39,21606,33017,629
61172,39,21606,33017,629
62266,39,21606,33017,629
63958,39,21606,33017,629
64609,39,21606,33017,629
66419,39,21606,33017,629
66456,39,21606,33017,629
68454,39,21606,33017,629
68691,39,21606,33017,629
68935,39,21606,33017,629
69471,39,21606,33017,629
70253,39,21606,33017,629
71916,39,21606,33017,629
73576,39,21606,33017,629
73644,39,21606,33017,629
75236,39,21606,33017,629
76625,39,21606,33017,629
78286,39,21606,33017,629
79946,39,21606,33017,629
81606,39,21606,33017,629
83271,39,21606,33017,629
84931,39,21606,33017,629
6756,39,21606,33017,630
68685,39,21606,33017,630
47131,39,21606,33017,601
196,39,21606,33017,629
1861,39,21606,33017,629
3526,39,21606,33017,629
3636,39,21606,33017,629
4546,39,21606,33017,629
5581,39,21606,33017,629
5824,39,21606,33017,629
7130,39,21606,33017,629
7388,39,21606,33017,629
8824,39,21606,33017,629
10486,39,21606,33017,629
12151,39,21606,33017,629
13811,39,21606,33017,629
15474,39,21606,33017,629
17131,39,21606,33017,629
17759,39,21606,33017,629
19426,39,21606,33017,629
21086,39,21606,33017,629
21316,39,21606,33017,629
22539,39,21606,33017,629
23166,39,21606,33017,629
23465,39,21606,33017,629
24831,39,21606,33017,629
24842,39,21606,33017,629
25451,39,21606,33017,629
25517,39,21606,33017,629
25851,39,21606,33017,629
26201,39,21606,33017,629
27510,39,21606,33017,629
28021,39,21606,33017,629
29202,39,21606,33017,629
30865,39,21606,33017,629
31230,39,21606,33017,629
32178,39,21606,33017,629
32741,39,21606,33017,629
32767,39,21606,33017,629
33262,39,21606,33017,629
34427,39,21606,33017,629
35381,39,21606,33017,629
35772,39,21606,33017,629
35981,39,21606,33017,629
37675,39,21606,33017,629
38273,39,21606,33017,629
39299,39,21606,33017,629
40260,39,21606,33017,629
41920,39,21606,33017,629
43585,39,21606,33017,629
45245,39,21606,33017,629
46911,39,21606,33017,629
48575,39,21606,33017,629
48606,39,21606,33017,629
48966,39,21606,33017,629
49754,39,21606,33017,629
50093,39,21606,33017,629
52537,39,21606,33017,629
53775,39,21606,33017,629
53954,39,21606,33017,629
54234,39,21606,33017,629
55186,39,21606,33017,629
56865,39,21606,33017,629
56881,39,21606,33017,629
58545,39,21606,33017,629
58559,39,21606,33017,629
58626,39,21606,33017,629
60240,39,21606,33017,629
60750,39,21606,33017,629
61951,39,21606,33017,629
62178,39,21606,33017,629
62417,39,21606,33017,629
63940,39,21606,33017,629
64408,39,21606,33017,629
65620,39,21606,33017,629
66624,39,21606,33017,629
67685,39,21606,33017,629
69380,39,21606,33017,629
69781,39,21606,33017,629
71072,39,21606,33017,629
72345,39,21606,33017,629
72969,39,21606,33017,629
73001,39,21606,33017,629
73049,39,21606,33017,629
73097,39,21606,33017,629
73144,39,21606,33017,629
74038,39,21606,33017,629
75732,39,21606,33017,629
76639,39,21606,33017,629
78358,39,21606,33017,629
80050,39,21606,33017,629
80413,39,21606,33017,629
80793,39,21606,33017,629
80806,39,21606,33017,629
82106,39,21606,33017,629
83801,39,21606,33017,629
84283,39,21606,33017,629
85182,39,21606,33017,629
86240,39,21606,33017,629
15471,39,21606,33017,630
1525,39,21606,33017,629
1537,39,21606,33017,629
3200,39,21606,33017,629
4540,39,21606,33017,629
4875,39,21606,33017,629
5289,39,21606,33017,629
5582,39,21606,33017,629
7255,39,21606,33017,629
7689,39,21606,33017,629
8925,39,21606,33017,629
10600,39,21606,33017,629
11851,39,21606,33017,629
11867,39,21606,33017,629
11892,39,21606,33017,629
13502,39,21606,33017,629
13522,39,21606,33017,629
13547,39,21606,33017,629
13600,39,21606,33017,629
15195,39,21606,33017,629
15682,39,21606,33017,629
16865,39,21606,33017,629
18540,39,21606,33017,629
20210,39,21606,33017,629
21046,39,21606,33017,629
22443,39,21606,33017,629
24115,39,21606,33017,629
24918,39,21606,33017,629
25430,39,21606,33017,629
25495,39,21606,33017,629
