sec,ID,x_coordinate(m),y_coordinate(m),AP_ID
219,19,14356,39196,1066
388,19,14356,39196,1082
780,19,14356,39196,1082
1392,19,14356,39196,1082
1584,19,14356,39196,1082
4794,19,14703,39123,948
6575,19,14703,39123,948
8374,19,14703,39123,948
762,19,14356,39196,1067
1004,19,14356,39196,1102
1172,19,14356,39196,1102
2099,19,14356,39196,1102
9889,19,14356,39196,1102
1031,19,14356,39196,1074
2177,19,14356,39196,1074
9853,19,14356,39196,1074
885,19,14356,39196,1094
9834,19,14356,39196,1094
2200,19,14356,39196,1096
10021,19,14356,39196,1096
9804,19,14356,39196,1052
2257,19,14703,39123,966
4078,19,14703,39123,966
1160,19,14356,39196,1099
2172,19,14356,39196,1099
9879,19,14356,39196,1099
1234,19,14356,39196,1076
1243,19,14356,39196,1093
1293,19,14356,39196,1081
1327,19,14356,39196,1112
2076,19,14356,39196,1112
9980,19,14356,39196,1112
2231,19,14703,39123,894
31300,19,21728,32711,142
31384,19,21613,32759,204
31321,19,21613,32759,199
30893,19,21728,32711,85
31344,19,21613,32759,221
31807,19,21510,33050,522
32054,19,21510,33050,518
32028,19,21510,33050,541
31584,19,21606,33017,615
31613,19,21510,33050,539
31776,19,21510,33050,539
31585,19,21510,33050,540
31765,19,21510,33050,542
50125,19,21728,32711,85
51953,19,21742,32802,236
47154,19,21728,32711,150
54947,19,21728,32711,150
47123,19,21728,32711,143
47177,19,21779,32818,164
54936,19,21742,32802,238
47073,19,21728,32711,142
55000,19,21728,32711,142
47138,19,21728,32711,145
54966,19,21728,32711,145
47187,19,21748,32768,160
54912,19,21748,32768,160
54929,19,21748,32768,147
49346,19,21742,32802,226
51151,19,21742,32802,226
52935,19,21742,32802,226
54729,19,21742,32802,226
54889,19,21742,32802,232
47233,19,21742,32802,227
49057,19,21742,32802,227
47215,19,21742,32802,254
566,19,21728,32711,85
2362,19,21728,32711,85
44173,19,21613,32759,203
44206,19,21613,32759,203
56143,19,21613,32759,203
44155,19,21613,32759,205
44994,19,21613,32759,205
48759,19,21613,32759,205
50575,19,21613,32759,205
52384,19,21613,32759,205
54190,19,21613,32759,205
54954,19,21613,32759,205
44123,19,21613,32759,202
56258,19,21728,32711,91
44010,19,21728,32711,145
43527,19,21740,32857,568
36446,19,21824,32886,265
38233,19,21824,32886,265
41017,19,21824,32886,265
42841,19,21824,32886,265
56187,19,21613,32759,221
43643,19,21728,32711,143
43988,19,21728,32711,143
48326,19,21613,32759,197
48675,19,21613,32759,197
44864,19,21613,32759,192
48720,19,21613,32759,192
56187,19,21613,32759,192
43597,19,21728,32711,68
44034,19,21728,32711,152
40089,19,21844,32793,109
40064,19,21844,32793,114
43476,19,21844,32793,114
43607,19,21728,32711,150
40517,19,21779,32818,163
40603,19,21804,32861,272
43458,19,21804,32861,272
43586,19,21742,32802,238
40555,19,21779,32818,101
40639,19,21824,32886,264
34631,19,21804,32683,187
40139,19,21742,32802,232
40481,19,21742,32802,232
40053,19,21804,32861,285
44486,19,21613,32759,211
40551,19,21804,32861,286
40252,19,21742,32802,234
44050,19,21742,32802,241
48368,19,21613,32759,215
48606,19,21613,32759,215
40546,19,21779,32818,163
45903,19,21728,32711,144
46125,19,21728,32711,144
36269,19,21728,32711,141
46185,19,21728,32711,141
49939,19,21408,33024,644
46239,19,21613,32759,221
50208,19,21613,32759,221
50228,19,21613,32759,206
46533,19,21399,33054,679
49873,19,21399,33054,679
44253,19,21742,32802,225
45352,19,21742,32802,225
46480,19,21408,33024,652
46609,19,21399,33054,687
48382,19,21399,33054,687
40300,19,21844,32793,109
43179,19,21844,32793,109
45677,19,21606,33017,616
43136,19,21779,32818,99
45858,19,21728,32711,150
45796,19,21620,32840,223
45943,19,21728,32711,145
40316,19,21748,32768,160
43210,19,21748,32768,160
50053,19,21606,33017,615
45924,19,21728,32711,62
46140,19,21728,32711,62
43236,19,21742,32802,238
40313,19,21779,32818,165
40531,19,21779,32818,165
40560,19,21779,32818,101
36315,19,21728,32711,61
46150,19,21728,32711,61
46171,19,21728,32711,80
43100,19,21804,32861,285
38283,19,21824,32886,264
40087,19,21824,32886,264
40978,19,21824,32886,264
42768,19,21824,32886,264
40324,19,21742,32802,232
40281,19,21779,32818,104
40678,19,21824,32886,265
43058,19,21824,32886,265
45636,19,21510,33050,544
36478,19,21804,32861,272
40610,19,21804,32861,272
43071,19,21804,32861,272
36382,19,21844,32793,114
40360,19,21742,32802,234
46595,19,21399,33054,676
43268,19,21742,32802,244
45838,19,21742,32802,244
45821,19,21742,32802,250
43307,19,21742,32802,252
43859,19,21742,32802,252
43795,19,21613,32759,208
58153,19,21728,32711,149
58178,19,21728,32711,145
46443,19,21728,32711,143
46481,19,21728,32711,143
58188,19,21728,32711,144
46423,19,21728,32711,142
43761,19,21613,32759,221
36352,19,21728,32711,94
46513,19,21728,32711,87
46672,19,21728,32711,67
43779,19,21613,32759,206
46305,19,21613,32759,206
43769,19,21613,32759,199
46388,19,21728,32711,141
46397,19,21728,32711,141
58246,19,21728,32711,141
58224,19,21728,32711,81
43834,19,21613,32759,205
46658,19,21728,32711,65
46695,19,21728,32711,152
48494,19,21728,32711,152
50296,19,21728,32711,152
52089,19,21728,32711,152
53898,19,21728,32711,152
55728,19,21728,32711,152
57531,19,21728,32711,152
58203,19,21728,32711,62
58181,19,21740,33078,449
39937,19,21804,32683,187
41760,19,21804,32683,187
43807,19,21613,32759,209
46281,19,21613,32759,209
43880,19,21613,32759,211
45701,19,21613,32759,211
68479,19,21742,32802,251
70302,19,21742,32802,251
72085,19,21742,32802,251
73892,19,21742,32802,251
66677,19,21728,32711,86
45857,19,21742,32802,251
55404,19,21742,32802,251
37193,19,21613,32759,208
35993,19,21728,32711,143
36890,19,21728,32711,143
30012,19,21728,32711,142
31821,19,21728,32711,142
33615,19,21728,32711,142
35422,19,21728,32711,142
54571,19,21613,32759,221
57188,19,21613,32759,221
37669,19,21613,32759,192
38561,19,21613,32759,192
40370,19,21613,32759,192
42188,19,21613,32759,192
29188,19,21728,32711,141
57231,19,21728,32711,141
35774,19,21728,32711,87
36954,19,21728,32711,153
55342,19,21620,32840,223
55363,19,21613,32759,195
37175,19,21613,32759,206
54363,19,21479,33032,699
35782,19,21728,32711,65
29223,19,21728,32711,62
35763,19,21728,32711,62
35930,19,21728,32711,62
29972,19,21728,32711,63
29993,19,21728,32711,82
35756,19,21728,32711,82
35924,19,21728,32711,82
35937,19,21728,32711,82
36856,19,21728,32711,82
37162,19,21613,32759,199
36910,19,21728,32711,61
35771,19,21728,32711,154
54296,19,21408,33024,652
37213,19,21613,32759,209
29282,19,21804,32683,125
29925,19,21804,32683,125
29251,19,21728,32711,80
29940,19,21728,32711,80
47572,19,21399,33054,686
49365,19,21399,33054,686
51167,19,21399,33054,686
52980,19,21399,33054,686
29267,19,21804,32683,124
29906,19,21804,32683,124
29420,19,21804,32683,181
37225,19,21613,32759,205
29322,19,21804,32683,132
29945,19,21728,32711,77
57168,19,21613,32759,216
57155,19,21742,32802,242
33537,19,21728,32711,141
35329,19,21804,32683,179
37151,19,21804,32683,179
36878,19,21804,32683,60
38703,19,21804,32683,187
69139,19,21613,32759,206
57531,19,21728,32711,85
69196,19,21728,32711,85
57603,19,21613,32759,221
69122,19,21613,32759,221
48523,19,21748,32768,147
69099,19,21613,32759,205
50309,19,21728,32711,152
52131,19,21728,32711,152
53916,19,21728,32711,152
61759,19,21742,32802,251
63563,19,21742,32802,251
65363,19,21742,32802,251
67168,19,21742,32802,251
69001,19,21742,32802,251
57726,19,21742,32802,252
59555,19,21742,32802,252
57684,19,21742,32802,225
61341,19,21742,32802,225
68890,19,21742,32802,225
57664,19,21613,32759,216
44545,19,21613,32759,206
47181,19,21728,32711,142
48995,19,21728,32711,142
50789,19,21728,32711,142
52604,19,21728,32711,142
44629,19,21742,32802,251
46422,19,21742,32802,251
44567,19,21613,32759,221
43496,19,21728,32711,141
44491,19,21728,32711,141
53765,19,21728,32711,141
41640,19,21728,32711,155
46803,19,21728,32711,62
53616,19,21728,32711,87
46691,19,21742,32802,244
46785,19,21728,32711,144
46842,19,21728,32711,144
46903,19,21728,32711,144
53715,19,21728,32711,144
46855,19,21728,32711,145
46918,19,21728,32711,143
43477,19,21728,32711,80
53692,19,21728,32711,63
36174,19,21742,32802,238
34097,19,21748,32768,148
34153,19,21728,32711,149
33562,19,21728,32711,142
33651,19,21728,32711,61
33687,19,21804,32683,64
36273,19,21804,32683,58
36257,19,21804,32683,139
36168,19,21742,32802,241
33640,19,21728,32711,80
33723,19,21804,32683,172
34182,19,21742,32802,244
36139,19,21742,32802,244
34211,19,21742,32802,252
36013,19,21742,32802,252
51001,19,21728,32711,91
52791,19,21613,32759,193
59777,19,21804,32683,57
37893,19,21728,32711,141
48742,19,21742,32802,252
50542,19,21742,32802,252
52352,19,21742,32802,252
46912,19,21728,32711,94
39583,19,21613,32759,192
41359,19,21613,32759,192
45004,19,21613,32759,192
37808,19,21728,32711,141
29447,19,21728,32711,141
29534,19,21728,32711,154
29540,19,21728,32711,82
29503,19,21728,32711,61
31109,19,21728,32711,142
32927,19,21728,32711,142
37601,19,21728,32711,141
37637,19,21728,32711,85
37892,19,21836,32737,178
38793,19,21836,32737,178
37678,19,21804,32683,53
37744,19,21836,32737,184
37733,19,21804,32683,57
38717,19,21804,32683,58
37826,19,21804,32683,177
37779,19,21804,32683,125
37702,19,21804,32683,60
37724,19,21804,32683,64
37796,19,21804,32683,72
37687,19,21728,32711,80
37760,19,21804,32683,176
40799,19,21613,32759,192
42591,19,21613,32759,192
37217,19,21804,32683,188
39012,19,21804,32683,188
41700,19,21613,32759,221
40344,19,21728,32711,142
38523,19,21728,32711,143
42186,19,21613,32759,205
43980,19,21613,32759,205
45784,19,21613,32759,205
47570,19,21613,32759,205
41644,19,21728,32711,85
41730,19,21613,32759,209
33779,19,21728,32711,85
34530,19,21804,32683,52
38117,19,21804,32683,54
39900,19,21804,32683,54
35438,19,21728,32711,142
37225,19,21742,32802,252
39015,19,21742,32802,252
45522,19,21728,32711,155
49167,19,21728,32711,155
50980,19,21728,32711,155
52754,19,21728,32711,156
34835,19,21613,32759,205
36653,19,21613,32759,205
38480,19,21613,32759,205
40301,19,21613,32759,205
42077,19,21613,32759,205
43871,19,21613,32759,205
45672,19,21613,32759,205
35006,19,21804,32683,170
34912,19,21728,32711,141
35047,19,21728,32711,87
36853,19,21728,32711,87
35113,19,21728,32711,152
37218,19,21613,32759,212
35097,19,21728,32711,67
36910,19,21728,32711,67
35076,19,21728,32711,66
37110,19,21728,32711,85
37406,19,21408,33024,652
35015,19,21728,32711,61
37078,19,21728,32711,61
35001,19,21728,32711,62
35025,19,21728,32711,62
36841,19,21728,32711,154
37442,19,21399,33054,679
38996,19,21399,33054,687
37483,19,21399,33054,684
37517,19,21399,33054,685
39007,19,21399,33054,685
40787,19,21399,33054,685
29514,19,21728,32711,142
47897,19,21824,32886,265
49676,19,21824,32886,264
44265,19,21742,32802,236
31339,19,21742,32802,231
33149,19,21742,32802,231
34938,19,21742,32802,231
36756,19,21742,32802,231
38560,19,21742,32802,231
40355,19,21742,32802,230
46075,19,21804,32861,285
73996,19,21824,32935,418
38525,19,21728,32711,142
39554,19,21728,32711,142
41355,19,21728,32711,142
36732,19,21728,32711,141
39441,19,21728,32711,86
41623,19,21742,32802,252
36917,19,21728,32711,142
38727,19,21728,32711,142
39815,19,21728,32711,142
45190,19,21742,32802,251
43413,19,21728,32711,159
39914,19,21728,32711,82
39957,19,21728,32711,155
41729,19,21728,32711,155
41981,19,21728,32711,155
43791,19,21728,32711,155
47421,19,21728,32711,155
49209,19,21728,32711,155
52248,19,21728,32711,155
52686,19,21728,32711,155
58111,19,21728,32711,155
59910,19,21728,32711,155
39922,19,21728,32711,90
41949,19,21728,32711,90
52428,19,21728,32711,90
52567,19,21728,32711,96
47159,19,21728,32711,141
36810,19,21804,32683,170
39842,19,21836,32737,184
40097,19,21836,32737,184
36889,19,21804,32683,177
39919,19,21804,32683,182
39868,19,21804,32683,136
40076,19,21804,32683,136
40072,19,21804,32683,181
36829,19,21804,32683,171
36789,19,21728,32711,81
36726,19,21728,32711,85
36904,19,21836,32737,178
38710,19,21836,32737,178
36858,19,21804,32683,60
64549,19,14703,39123,966
66352,19,14703,39123,966
68128,19,14703,39123,966
69900,19,14703,39123,966
72326,19,14703,39123,966
74265,19,14703,39123,966
76089,19,14703,39123,966
77766,19,14703,39123,966
79362,19,14703,39123,966
83606,19,14703,39123,966
84610,19,14703,39123,966
86274,19,14703,39123,966
71763,19,14703,39123,948
77483,19,14703,39123,948
71728,19,14356,39196,1052
72462,19,14356,39196,1052
76745,19,14356,39196,1052
77569,19,14356,39196,1052
79313,19,14356,39196,1052
81039,19,14356,39196,1052
82771,19,14356,39196,1052
83129,19,14356,39196,1052
73045,19,14356,39196,1094
77599,19,14356,39196,1094
79276,19,14356,39196,1094
81892,19,14356,39196,1094
82150,19,14356,39196,1094
82216,19,14356,39196,1094
70789,19,14356,39196,1102
77659,19,14356,39196,1102
70995,19,14356,39196,1074
77623,19,14356,39196,1074
77695,19,14356,39196,1074
78827,19,14356,39196,1074
70652,19,14356,39196,1096
71028,19,14356,39196,1096
77589,19,14356,39196,1096
77724,19,14356,39196,1096
81698,19,14356,39196,1096
78803,19,14356,39196,1099
80754,19,14356,39196,1090
83236,19,14356,39196,1090
85199,19,14356,39196,1090
74098,19,14356,39196,1112
81272,19,14356,39196,1112
77735,19,14356,39196,1107
73940,19,14356,39196,1110
81888,19,14356,39196,1110
81975,19,14356,39196,1110
81395,19,14703,39123,894
82534,19,14703,39123,894
737,19,14356,39196,1074
534,19,14356,39196,1094
299,19,14356,39196,1052
704,19,14703,39123,960
49543,19,25242,12247,1028
59398,19,21851,32856,290
55436,19,21613,32759,192
56469,19,21613,32759,206
47181,19,21728,32711,144
47479,19,21613,32759,192
53499,19,21613,32759,192
56878,19,21613,32759,208
47010,19,21728,32711,141
47323,19,21728,32711,141
56907,19,21728,32711,141
47220,19,21728,32711,65
47094,19,21728,32711,84
47155,19,21728,32711,62
47100,19,21728,32711,61
47262,19,21728,32711,154
53935,19,21728,32711,150
37724,19,21779,32818,97
37665,19,21728,32711,145
37818,19,21742,32802,253
37734,19,21779,32818,163
37767,19,21742,32802,228
37680,19,21728,32711,149
37910,19,21613,32759,204
37959,19,21613,32759,192
37872,19,21613,32759,205
37893,19,21613,32759,194
37695,19,21779,32818,165
37796,19,21740,32857,582
30618,19,21613,32759,199
30597,19,21613,32759,221
30932,19,21613,32759,204
30794,19,21613,32759,192
34727,19,21613,32759,192
30544,19,21728,32711,85
30683,19,21613,32759,209
33648,19,21613,32759,209
34043,19,21613,32759,209
34128,19,21613,32759,209
30641,19,21613,32759,208
30575,19,21728,32711,142
30747,19,21613,32759,193
31062,19,21613,32759,205
34172,19,21613,32759,205
30715,19,21613,32759,213
33999,19,21613,32759,213
30739,19,21613,32759,211
34161,19,21613,32759,211
31045,19,21613,32759,197
66299,19,25242,12247,1019
41262,19,21613,32759,205
37613,19,21728,32711,141
45031,19,21613,32759,211
61072,19,21613,32759,221
60821,19,21606,33017,611
49436,19,21303,33425,819
60013,19,21303,33425,819
49398,19,21229,33425,838
49424,19,21303,33425,829
49258,19,21505,33247,756
60656,19,21505,33247,756
60730,19,21480,33215,770
60757,19,21579,33200,768
61142,19,21728,32711,142
60052,19,21303,33425,818
49416,19,21303,33425,826
60588,19,21480,33215,804
60706,19,21579,33200,765
61001,19,21613,32759,204
48987,19,21412,33204,738
60880,19,21606,33017,616
48927,19,21399,33054,688
50001,19,21303,33425,823
51788,19,21303,33425,823
53595,19,21303,33425,823
55396,19,21303,33425,823
57214,19,21303,33425,823
58999,19,21303,33425,823
49418,19,21303,33410,855
60508,19,21303,33410,854
48893,19,21408,33024,643
48709,19,21613,32759,221
