sec,ID,x_coordinate(m),y_coordinate(m),AP_ID
1329,72,14703,39123,886
3142,72,14703,39123,886
4962,72,14703,39123,886
6748,72,14703,39123,886
8559,72,14703,39123,886
10372,72,14703,39123,886
12155,72,14703,39123,886
13964,72,14703,39123,886
15779,72,14703,39123,886
17561,72,14703,39123,886
19375,72,14703,39123,886
21160,72,14703,39123,886
22975,72,14703,39123,886
24799,72,14703,39123,886
26587,72,14703,39123,886
28414,72,14703,39123,886
30197,72,14703,39123,886
32023,72,14703,39123,886
33842,72,14703,39123,886
35630,72,14703,39123,886
37436,72,14703,39123,886
39210,72,14703,39123,886
41002,72,14703,39123,886
42792,72,14703,39123,886
44597,72,14703,39123,886
46378,72,14703,39123,886
48156,72,14703,39123,886
49973,72,14703,39123,886
51794,72,14703,39123,886
53594,72,14703,39123,886
55397,72,14703,39123,886
57226,72,14703,39123,886
59042,72,14703,39123,886
60843,72,14703,39123,886
62630,72,14703,39123,886
64418,72,14703,39123,886
66226,72,14703,39123,886
68035,72,14703,39123,886
69825,72,14703,39123,886
71601,72,14703,39123,886
73384,72,14703,39123,886
75211,72,14703,39123,886
77022,72,14703,39123,886
78810,72,14703,39123,886
80620,72,14703,39123,886
82423,72,14703,39123,886
84230,72,14703,39123,886
86042,72,14703,39123,886
1415,72,14703,39123,886
3230,72,14703,39123,886
5041,72,14703,39123,886
6838,72,14703,39123,886
8616,72,14703,39123,886
10441,72,14703,39123,886
12235,72,14703,39123,886
14057,72,14703,39123,886
15835,72,14703,39123,886
17633,72,14703,39123,886
19421,72,14703,39123,886
21227,72,14703,39123,886
23030,72,14703,39123,886
24839,72,14703,39123,886
26623,72,14703,39123,886
28433,72,14703,39123,886
30250,72,14703,39123,886
32055,72,14703,39123,886
33858,72,14703,39123,886
35646,72,14703,39123,886
37473,72,14703,39123,886
39259,72,14703,39123,886
41065,72,14703,39123,886
42876,72,14703,39123,886
44672,72,14703,39123,886
46498,72,14703,39123,886
48283,72,14703,39123,886
50096,72,14703,39123,886
51913,72,14703,39123,886
53719,72,14703,39123,886
55522,72,14703,39123,886
57320,72,14703,39123,886
59125,72,14703,39123,886
60909,72,14703,39123,886
62708,72,14703,39123,886
64537,72,14703,39123,886
66350,72,14703,39123,886
68163,72,14703,39123,886
69992,72,14703,39123,886
71772,72,14703,39123,886
73578,72,14703,39123,886
75403,72,14703,39123,886
77210,72,14703,39123,886
79038,72,14703,39123,886
80859,72,14703,39123,886
82668,72,14703,39123,886
84484,72,14703,39123,886
86313,72,14703,39123,886
1687,72,14703,39123,886
3500,72,14703,39123,886
5318,72,14703,39123,886
7123,72,14703,39123,886
8921,72,14703,39123,886
10713,72,14703,39123,886
12509,72,14703,39123,886
14283,72,14703,39123,886
16061,72,14703,39123,886
17847,72,14703,39123,886
19623,72,14703,39123,886
21431,72,14703,39123,886
23213,72,14703,39123,886
25016,72,14703,39123,886
26836,72,14703,39123,886
28625,72,14703,39123,886
30413,72,14703,39123,886
32213,72,14703,39123,886
34043,72,14703,39123,886
35850,72,14703,39123,886
37648,72,14703,39123,886
39459,72,14703,39123,886
41285,72,14703,39123,886
43112,72,14703,39123,886
44941,72,14703,39123,886
46751,72,14703,39123,886
48549,72,14703,39123,886
50331,72,14703,39123,886
52177,72,14703,39123,886
53964,72,14703,39123,886
55793,72,14703,39123,886
57568,72,14703,39123,886
59398,72,14703,39123,886
61203,72,14703,39123,886
63016,72,14703,39123,886
64805,72,14703,39123,886
66593,72,14703,39123,886
68406,72,14703,39123,886
70192,72,14703,39123,886
71993,72,14703,39123,886
73795,72,14703,39123,886
75624,72,14703,39123,886
77433,72,14703,39123,886
79239,72,14703,39123,886
81019,72,14703,39123,886
82799,72,14703,39123,886
84575,72,14703,39123,886
86379,72,14703,39123,886
1794,72,14703,39123,886
3603,72,14703,39123,886
5407,72,14703,39123,886
7216,72,14703,39123,886
9012,72,14703,39123,886
10819,72,14703,39123,886
12609,72,14703,39123,886
14389,72,14703,39123,886
16204,72,14703,39123,886
17984,72,14703,39123,886
19768,72,14703,39123,886
21567,72,14703,39123,886
23394,72,14703,39123,886
25184,72,14703,39123,886
26998,72,14703,39123,886
28825,72,14703,39123,886
30626,72,14703,39123,886
32408,72,14703,39123,886
34183,72,14703,39123,886
36007,72,14703,39123,886
37820,72,14703,39123,886
39632,72,14703,39123,886
41435,72,14703,39123,886
43229,72,14703,39123,886
45046,72,14703,39123,886
46841,72,14703,39123,886
48621,72,14703,39123,886
50415,72,14703,39123,886
52244,72,14703,39123,886
54048,72,14703,39123,886
55828,72,14703,39123,886
57622,72,14703,39123,886
59442,72,14703,39123,886
61223,72,14703,39123,886
62997,72,14703,39123,886
64789,72,14703,39123,886
66575,72,14703,39123,886
68369,72,14703,39123,886
70181,72,14703,39123,886
71994,72,14703,39123,886
73792,72,14703,39123,886
75595,72,14703,39123,886
77392,72,14703,39123,886
79193,72,14703,39123,886
81015,72,14703,39123,886
82799,72,14703,39123,886
84600,72,14703,39123,886
86386,72,14703,39123,886
7493,72,14703,39123,887
9287,72,14703,39123,887
11113,72,14703,39123,887
1797,72,14703,39123,886
3589,72,14703,39123,886
5419,72,14703,39123,886
7215,72,14703,39123,886
11137,72,14703,39123,886
12934,72,14703,39123,886
14745,72,14703,39123,886
16519,72,14703,39123,886
18313,72,14703,39123,886
20130,72,14703,39123,886
21906,72,14703,39123,886
23699,72,14703,39123,886
25524,72,14703,39123,886
27329,72,14703,39123,886
29143,72,14703,39123,886
30968,72,14703,39123,886
32768,72,14703,39123,886
34569,72,14703,39123,886
36375,72,14703,39123,886
38190,72,14703,39123,886
39993,72,14703,39123,886
41771,72,14703,39123,886
43575,72,14703,39123,886
